"#","Reference","Qty","Value","Footprint","DNP"
"1","C1, C2","2","47uF","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm",""
"2","C3, C4","2","0.1uF","Capacitor_THT:CP_Radial_D4.0mm_P2.00mm",""
"3","D1, D2","2","1N5819","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal",""
"4","D3","1","LED_IN_1","LED_THT:LED_D3.0mm",""
"5","D4","1","LED_IN_2","LED_THT:LED_D3.0mm",""
"6","D5","1","LED_IN_3","LED_THT:LED_D3.0mm",""
"7","D6","1","LED_IN_4","LED_THT:LED_D3.0mm",""
"8","D7","1","LED_OUT","LED_THT:LED_D3.0mm",""
"9","D8, D9","2","1N4148","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal",""
"10","H1, H4","2","~","synth-custom:PinHeader_1x08_P2.00mm_Vertical",""
"11","H2, H3","2","~","synth-custom:PinSocket_1x08_P2.00mm_Vertical",""
"12","H5, H6","2","MountingHole","MountingHole:MountingHole_2.5mm",""
"13","H7, H8","2","MountingHole","MountingHole:MountingHole_3.5mm",""
"14","H9","1","Conn_02x05_PWR_Eurorack","synth-custom:CONN_02x05_PWR",""
"15","J1","1","INPUT_1","synth-custom:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles",""
"16","J2","1","INPUT_2","synth-custom:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles",""
"17","J3","1","INPUT_3","synth-custom:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles",""
"18","J4","1","INPUT_4","synth-custom:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles",""
"19","J5, J6","2","OUTPUT","synth-custom:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles",""
"20","Q1, Q2, Q3, Q4, Q5","5","BC547","Package_TO_SOT_THT:TO-92_Inline",""
"21","R1, R2","2","10","synth-custom:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"22","R3, R6, R9, R12, R18, R19, R21","7","1K","synth-custom:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"23","R4, R5, R7, R8, R10, R11, R13, R14, R15, R16, R17, R20, R22, R24","14","100K","synth-custom:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"24","R23","1","27K","synth-custom:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"25","RV1, RV2, RV3, RV4, RV5","5","B100K","Potentiometer_THT:Potentiometer_TT_P0915N",""
"26","RV6","1","B20K","Potentiometer_THT:Potentiometer_TT_P0915N",""
"27","U1","1","TL074","Package_DIP:DIP-14_W7.62mm_Socket_LongPads",""
