"#","Reference","Qty","Value","Footprint","DNP"
"1","ATT1, SUS/REL1","2","A1M","Potentiometer_THT:Potentiometer_TT_P0915N",""
"2","C1, C2","2","47uF","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm",""
"3","C3, C4, C5, C6, C9, C10","6","0.1uF","Capacitor_THT:CP_Radial_D4.0mm_P2.00mm",""
"4","C7, C8, C9_OPT1","3","1uF","synth-custom:C_RECT_MKT_1uF",""
"5","D1, D2","2","1N5819","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal",""
"6","D3, D4, D5, D6, D7, D8","6","1N4148","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal",""
"7","D9","1","LED","LED_THT:LED_D3.0mm",""
"8","H1","1","~","synth-custom:PinHeader_1x04_P2.00mm_Vertical",""
"9","H2","1","~","synth-custom:PinSocket_1x04_P2.00mm_Vertical",""
"10","H3","1","TOP_8_SGL","synth-custom:PinHeader_1x04_P2.00mm_Vertical",""
"11","H4, H6","2","BTM_8_SGL","synth-custom:PinSocket_1x04_P2.00mm_Vertical",""
"12","H5","1","BTM_8_SGL","synth-custom:PinHeader_1x04_P2.00mm_Vertical",""
"13","H7, H8, H9, H10, H11, H12, H13, H14","8","MountingHole","MountingHole:MountingHole_2.5mm",""
"14","J1","1","PWR","synth-custom:CONN_02x08_PWR",""
"15","J2","1","GATE","synth-custom:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles",""
"16","J3","1","INV_OUT","synth-custom:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles",""
"17","J4","1","OUT","synth-custom:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles",""
"18","Q1","1","BC548","Package_TO_SOT_THT:TO-92_Inline",""
"19","R1, R2","2","10","synth-custom:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"20","R3, R4, R5, R6, R7, R8, R9, R10, R11, R12","10","100K","synth-custom:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"21","R13","1","47K","synth-custom:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"22","R14","1","10K","synth-custom:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"23","R15, R16","2","1K","synth-custom:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"24","R17","1","470","synth-custom:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"25","R18","1","100","synth-custom:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"26","SUSTAIN1","1","A100K","Potentiometer_THT:Potentiometer_TT_P0915N",""
"27","SW1","1","LOOP","synth-custom:SPDT_Toggle",""
"28","TP1","1","A","",""
"29","TP2","1","B","",""
"30","TP3","1","C","",""
"31","U1, U2","2","TL074","Package_DIP:DIP-14_W7.62mm_Socket_LongPads",""
