Designator,Footprint,Quantity,Value,LCSC Part #
C1,CP_Radial_D4.0mm_P2.00mm,1,10uF,
C10,0805,1,22nF,
"C11, C12, C3, C4",0805,4,100nF,
"C13, C14, C6",0805,3,2.2pF,
"C15, C16",0805,2,4.7uF,
"C2, C9",0805,2,1uF,
C5,0805,1,220nF,
C7,0805,1,82nF,
C8,0805,1,33nF,
J1,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03,
J2,PinSocket_1x02_P2.54mm_Vertical,1,Conn_01x02,
Q1,SOT-23,1,MMBT3904,
Q2,TO-92_HandSolder,1,2N3904,
"R1, R6",0805,2,1M,
"R10, R12, R13, R3",0805,4,10K,
"R11, R4",0805,2,100K,
R14,0805,1,39K,
R15,0805,1,12K,
"R16, R17, R2",0805,3,1K,
R5,0805,1,7K5,
R7,0805,1,2K7,
R8,0805,1,1K8,
R9,0805,1,330R,
RV1,Potentiometer_Runtron_RM-065_Vertical,1,1M,
TP1,TestPoint_Loop_D2.54mm_Drill1.5mm_Beaded,1,NOISE_A,
TP2,TestPoint_Loop_D2.54mm_Drill1.5mm_Beaded,1,NOISE_B,
"U1, U2",SOIC-8,2,TL072,
