Designator,Mid X,Mid Y,Rotation,Layer
C1,61.027401,-67.0,0.0,top
C10,70.0,-69.5375,90.0,top
C11,58.5,-52.5,270.0,top
C12,66.5,-58.0,90.0,top
C13,69.5,-51.25,180.0,top
C14,76.75,-67.5,180.0,top
C15,77.5,-51.5,0.0,top
C16,77.0,-61.9625,270.0,top
C2,61.5375,-73.5,0.0,top
C3,83.0,-71.0,270.0,top
C4,72.25,-73.75,0.0,top
C5,72.5,-69.5375,90.0,top
C6,61.0,-61.5,180.0,top
C7,65.0,-69.5375,90.0,top
C8,67.5,-69.5375,90.0,top
C9,57.0,-59.5,180.0,top
J1,52.5,-64.54,0.0,bottom
J2,83.0,-63.27,0.0,bottom
Q1,52.5,-72.5,0.0,top
Q2,56.885,-72.0,90.0,top
R1,61.5,-71.5,0.0,top
R10,58.5,-56.5,270.0,top
R11,66.5,-53.0,270.0,top
R12,73.5,-51.25,180.0,top
R13,79.75,-66.5,90.0,top
R14,76.75,-65.0,180.0,top
R15,77.0,-56.5,270.0,top
R16,79.5,-62.0,90.0,top
R17,77.5,-53.5,180.0,top
R2,55.5,-63.0,270.0,top
R3,61.0,-63.5,180.0,top
R4,64.0,-60.5,270.0,top
R5,72.5,-65.5375,90.0,top
R6,61.0,-59.5,0.0,top
R7,65.0,-65.5375,90.0,top
R8,67.5,-65.5375,90.0,top
R9,70.0,-65.5375,90.0,top
RV1,71.5,-57.76,0.0,top
TP1,56.5,-67.0,0.0,top
TP2,52.5,-53.0,0.0,top
U1,62.5,-54.5,0.0,top
U2,78.0,-71.5,270.0,top
