Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C4, C6",0805,5,100nF,
"C11, C9",0805,2,10pF,
C5,0805,1,10uF,
C7,0805,1,1uF,
FB,0805,1,120R,
J1,PinHeader_1x04_P2.54mm_Vertical,1,SWD,
J2,PinHeader_1x03_P2.54mm_Vertical,1,BOOT_RUN,
"J3, J4, J5",PinHeader_1x16_P2.54mm_Vertical,3,Conn_01x16,
J6,PinHeader_1x04_P2.54mm_Vertical,1,POWER_HEADER,
J7,PinHeader_1x03_P2.54mm_Vertical,1,V_VA_CONN,
R2,0805,1,10R,
R3,0805,1,10K,
U1,LQFP-64_10x10mm_P0.5mm,1,STM32G474RBTx,
Y1,Crystal_SMD_HC49-SD_HandSoldering,1,20MHZ,
