Designator,Mid X,Mid Y,Rotation,Layer
C1,71.0,-80.0,45.0,top
C11,74.0,-55.0,90.0,top
C2,78.5,-89.0,45.0,top
C3,89.0,-80.0,225.0,top
C4,81.5,-71.0,225.0,top
C5,92.0,-64.0,0.0,top
C6,75.0,-88.0,45.0,top
C7,104.0,-57.9625,270.0,top
C9,86.0,-55.0,90.0,top
FB,100.0,-52.0,180.0,top
J1,97.27,-61.0,90.0,top
J2,108.0,-54.5,0.0,top
J3,55.0,-79.588819,0.0,top
J4,79.05,-105.0,90.0,top
J5,105.0,-81.11,180.0,top
J6,97.27,-57.0,90.0,top
J7,93.54,-53.0,90.0,top
R2,86.0,-65.0,270.0,top
R3,108.25,-78.75,270.0,top
U1,80.0,-80.0,225.0,top
Y1,80.0,-60.0,180.0,top
