"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1,C2","47uF","~","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","2",""
"C3,C4","0.1uF","~","Capacitor_THT:CP_Radial_D4.0mm_P2.00mm","2",""
"D1,D2","1N5819","http://www.vishay.com/docs/88525/1n5817.pdf","Synth:D_DO-41_SOD81_P10.16mm_Horizontal","2",""
"D3","LED_IN_1","~","Synth:LED_D5.0mm (center Aligned)","1",""
"D4","LED_IN_2","~","Synth:LED_D5.0mm (center Aligned)","1",""
"D5","LED_IN_3","~","Synth:LED_D5.0mm (center Aligned)","1",""
"D6","LED_IN_4","~","Synth:LED_D5.0mm (center Aligned)","1",""
"D7","LED_OUT","~","Synth:LED_D5.0mm (center Aligned)","1",""
"D8,D9","1N4148","https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf","Synth:D_DO-35_SOD27_P7.62mm_Horizontal","2",""
"H1,H2,H3,H4","~","~","-- mixed values --","4",""
"H5,H6,H7,H8,H10,H11,H12,H13","MountingHole","-- mixed values --","MountingHole:MountingHole_3.2mm_M3","8",""
"H9","Conn_02x05_PWR_Eurorack","~","Synth:IDC-Header_2x05_P2.54mm_Vertical","1",""
"J1","INPUT_1","~","Synth:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles","1",""
"J2","INPUT_2","~","Synth:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles","1",""
"J3","INPUT_3","~","Synth:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles","1",""
"J4","INPUT_4","~","Synth:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles","1",""
"J5","OUTPUT","~","Synth:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles","1",""
"J6","INV_OUT","~","Synth:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles","1",""
"Q1,Q2,Q3,Q4,Q5","BC547","https://www.onsemi.com/pub/Collateral/BC550-D.pdf","Package_TO_SOT_THT:TO-92_HandSolder","5",""
"R1,R2","10","~","Synth:R_Default (DIN0207)","2",""
"R3,R6,R9,R12,R18,R19,R21","1K","~","Synth:R_Default (DIN0207)","7",""
"R4,R5,R7,R8,R10,R11,R13,R14,R15,R16,R17,R20,R22,R24","100K","~","Synth:R_Default (DIN0207)","14",""
"R23","27K","~","Synth:R_Default (DIN0207)","1",""
"RV1,RV2,RV3,RV4,RV5","B100K","~","Synth:Potentiometer_TT_P0915N","5",""
"RV6","B20K","~","Potentiometer_THT:Potentiometer_Bourns_3296W_Vertical","1",""
"TP1","+12V","~","Connector_Pin:Pin_D1.0mm_L10.0mm","1",""
"TP2","GND","~","Connector_Pin:Pin_D1.0mm_L10.0mm","1",""
"TP3","-12V","~","Connector_Pin:Pin_D1.0mm_L10.0mm","1",""
"TP4","OUT","~","Connector_Pin:Pin_D1.0mm_L10.0mm","1",""
"TP5","DIST_OUT","~","Connector_Pin:Pin_D1.0mm_L10.0mm","1",""
"TP6","MXR_IN","~","Connector_Pin:Pin_D1.0mm_L10.0mm","1",""
"TP7","IN_1","~","Connector_Pin:Pin_D1.0mm_L10.0mm","1",""
"TP8","IN_2","~","Connector_Pin:Pin_D1.0mm_L10.0mm","1",""
"TP9","IN_3","~","Connector_Pin:Pin_D1.0mm_L10.0mm","1",""
"TP10","IN_4","~","Connector_Pin:Pin_D1.0mm_L10.0mm","1",""
"TP11","MXR_OUT","~","Connector_Pin:Pin_D1.0mm_L10.0mm","1",""
"U1","TL074","http://www.ti.com/lit/ds/symlink/tl071.pdf","Package_DIP:DIP-14_W7.62mm_Socket_LongPads","1",""
