Designator,Mid X,Mid Y,Rotation,Layer
C1,190.0,-73.75,90.0,top
C2,190.0,-81.567621,270.0,top
C3,190.23,-64.567621,270.0,top
D1,197.27,-78.0,180.0,top
D2,197.19,-62.0,0.0,top
D3,197.27,-70.0,180.0,top
D4,200.5,-73.5,0.0,top
D5,199.525,-81.5,0.0,top
D6,199.0,-58.5,180.0,top
H1,86.27,-70.08,0.0,top
H10,63.0,-54.0,0.0,top
H11,275.0,-86.0,0.0,top
H12,275.0,-54.0,0.0,top
H13,337.0,-86.0,0.0,top
H14,336.0,-54.0,0.0,top
H15,63.0,-86.0,0.0,top
H16,200.0,-54.0,0.0,top
H17,263.27,-70.08,0.0,top
H18,276.27,-70.08,0.0,top
H19,302.27,-70.08,0.0,top
H2,99.27,-70.08,0.0,top
H20,315.27,-70.08,0.0,top
H21,125.0,-86.0,0.0,top
H22,125.0,-54.0,0.0,top
H3,126.27,-70.08,0.0,top
H4,139.27,-70.08,0.0,top
H5,165.27,-70.08,0.0,top
H6,178.27,-70.08,0.0,top
H7,224.27,-70.08,0.0,top
H8,237.27,-70.08,0.0,top
H9,200.0,-86.0,0.0,top
J1,73.27,-73.89,0.0,top
J10,56.55,-58.5,0.0,top
J11,343.65,-66.0,180.0,top
J12,343.45,-74.0,180.0,top
J13,343.65,-58.5,180.0,top
J14,343.65,-81.5,180.0,top
J2,112.27,-73.89,0.0,top
J3,152.27,-73.89,0.0,top
J4,250.27,-73.89,0.0,top
J5,289.27,-73.89,0.0,top
J6,327.77,-73.89,0.0,top
J7,56.55,-81.5,0.0,top
J8,56.55,-66.0,0.0,top
J9,56.55,-74.0,0.0,top
R1,207.31,-70.0,180.0,top
R2,207.31,-78.0,180.0,top
R3,207.31,-62.0,180.0,top
R4,196.5,-73.5,0.0,top
R5,195.5,-81.5,0.0,top
R6,195.0,-58.5,0.0,top
TP1,205.0,-74.0,0.0,top
TP2,217.5,-70.0,0.0,top
TP3,205.0,-66.0,0.0,top
TP4,205.0,-82.0,0.0,top
