"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1,C2,C3,C4,C6,C8,C13,C14,C16","100nF","~","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","9",""
"C5,C15,C17,C20","10uF","~","-- mixed values --","4",""
"C7,C19","1uF","~","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","2",""
"C9,C10","10pF","~","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","2",""
"C11,C12","2.2uF","~","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","2",""
"C18,C21","18pF","~","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","2",""
"D1,D2","LED","~","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","2",""
"FB1","120Ω","~","Inductor_SMD:L_0805_2012Metric_Pad1.15x1.40mm_HandSolder","1",""
"J1","BOOT_RUN","~","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","1",""
"J2","UART","~","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","1",""
"J4","AUDIO_IN_OUT","~","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","1",""
"J5","LED_DRIVER","~","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","1",""
"J6,J9,J10","Conn_01x06","~","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical","3",""
"J7","Power","~","Connector_PinHeader_2.54mm:PinHeader_1x08_P2.54mm_Vertical","1",""
"J8","Conn_01x08","~","Connector_PinHeader_2.54mm:PinHeader_1x08_P2.54mm_Vertical","1",""
"J11","V_VA_CONN","~","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","1",""
"J13","SWD","~","Connector_PinHeader_2.54mm:PinHeader_2x05_P2.54mm_Vertical","1",""
"R1,R6","10K","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","2",""
"R2","10R","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","1",""
"R4,R5","2K2","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","2",""
"R7","1K","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","1",""
"R8","330R","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","1",""
"U1","STM32F405RGT6","https://www.st.com/resource/en/datasheet/stm32f405rg.pdf","Package_QFP:LQFP-64_10x10mm_P0.5mm","1",""
"U2","WM8731SEDS","https://statics.cirrus.com/pubs/proDatasheet/WM8731_v4.9.pdf","Package_SO:SSOP-28_5.3x10.2mm_P0.65mm","1",""
"Y1","8MHZ","~","Crystal:Crystal_HC49-U_Vertical","1",""
"Y2","12.288MHZ","~","Crystal:Crystal_HC49-U_Vertical","1",""
