### Footprint positions - created on 2025-01-12T20:34:40+0100 ###
### Printed by KiCad version 8.0.5
## Unit = mm, Angle = deg.
## Side : top
# Ref     Val            Package                                             PosX       PosY       Rot  Side
C1        100nF          C_0805_2012Metric_Pad1.18x1.45mm_HandSolder      77.7000   -59.7000  -90.0000  top
C2        100nF          C_0805_2012Metric_Pad1.18x1.45mm_HandSolder      89.4000   -60.8000  -90.0000  top
C3        100nF          C_0805_2012Metric_Pad1.18x1.45mm_HandSolder      77.3000   -74.3375   90.0000  top
C4        100nF          C_0805_2012Metric_Pad1.18x1.45mm_HandSolder      92.0000   -69.5000  180.0000  top
C5        10uF           C_0805_2012Metric_Pad1.18x1.45mm_HandSolder      75.5000   -59.7000  -90.0000  top
C6        100nF          C_0805_2012Metric_Pad1.18x1.45mm_HandSolder      89.2000   -77.0000  180.0000  top
C7        1uF            C_0805_2012Metric_Pad1.18x1.45mm_HandSolder      89.2000   -79.1000  180.0000  top
C8        100nF          C_0805_2012Metric_Pad1.18x1.45mm_HandSolder      66.0000   -70.5000    0.0000  top
C9        18pF           C_0805_2012Metric_Pad1.18x1.45mm_HandSolder      77.5000   -88.0000  -90.0000  top
C10       18pF           C_0805_2012Metric_Pad1.18x1.45mm_HandSolder      82.5000   -88.0000  -90.0000  top
C11       2.2uF          C_0805_2012Metric_Pad1.18x1.45mm_HandSolder      92.1000   -62.7000   90.0000  top
C12       2.2uF          C_0805_2012Metric_Pad1.18x1.45mm_HandSolder      80.0000   -58.0000   90.0000  top
C13       100nF          C_0805_2012Metric_Pad1.18x1.45mm_HandSolder      70.0000  -104.1000  180.0000  top
C14       100nF          C_0805_2012Metric_Pad1.18x1.45mm_HandSolder      70.5000   -90.5000  -90.0000  top
C15       10uF           C_0805_2012Metric_Pad1.18x1.45mm_HandSolder      73.0000   -90.5000  -90.0000  top
C16       100nF          C_0805_2012Metric_Pad1.18x1.45mm_HandSolder      58.5000   -93.0000  -90.0000  top
C17       10uF           C_0805_2012Metric_Pad1.18x1.45mm_HandSolder      56.0000   -93.0000  -90.0000  top
C18       18pF           C_0805_2012Metric_Pad1.18x1.45mm_HandSolder      85.5000   -94.5000    0.0000  top
C19       1uF            C_0805_2012Metric_Pad1.18x1.45mm_HandSolder      70.5000  -107.0000  180.0000  top
C21       18pF           C_0805_2012Metric_Pad1.18x1.45mm_HandSolder      85.5000   -99.5000    0.0000  top
D1        LED            LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder    66.0000   -84.0000   90.0000  top
D2        LED            LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder    53.0000   -51.5000    0.0000  top
FB1       120Ω          L_0805_2012Metric_Pad1.15x1.40mm_HandSolder      61.5000   -53.0000   90.0000  top
R1        10K            R_0805_2012Metric_Pad1.20x1.40mm_HandSolder      69.0000   -76.2000   90.0000  top
R2        10R            R_0805_2012Metric_Pad1.20x1.40mm_HandSolder      80.5000   -77.5000   90.0000  top
R6        10K            R_0805_2012Metric_Pad1.20x1.40mm_HandSolder      69.0000   -71.5000  -90.0000  top
R7        1K             R_0805_2012Metric_Pad1.20x1.40mm_HandSolder      64.0000   -84.0000   90.0000  top
R8        330R           R_0805_2012Metric_Pad1.20x1.40mm_HandSolder      53.0000   -53.5000    0.0000  top
U1        STM32F405RGT6  LQFP-64_10x10mm_P0.5mm                           83.0000   -67.0000   90.0000  top
U2        WM8731SEDS     SSOP-28_5.3x10.2mm_P0.65mm                       65.5000   -97.5000  -90.0000  top
## End
