Designator,Footprint,Quantity,Value,LCSC Part #
C1,0805,1,1nF,
"C10, C14",CP_Radial_D6.3mm_P2.50mm,2,47uF,
"C11, C12, C13, C15, C16, C17, C18, C19",0805,8,100nF,
C2,0805,1,470nF,
"C3, C4",CP_Radial_D5.0mm_P2.50mm,2,2.2uF,
C5,0805,1,47nF,
C6,0805,1,33nF,
C7,0805,1,2.2nF,
C8,0805,1,10nF,
C9,0805,1,22nF,
"D1, D2, D3, D4",D_SOD-323_HandSoldering,4,1N4148WS,
D10,LED_D3.0mm,1,LED,
"D5, D6",D_SOD-323_HandSoldering,2,1N5819WS,
D7,D_SOD-323_HandSoldering,1,1N4148,
H1,IDC-Header_2x05_P2.54mm_Vertical,1,Conn_02x05_PWR_Eurorack,
J1,Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles,1,PITCH_INPUT,
J2,Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles,1,TRIGGER_IN,
J3,Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles,1,OUTPUT,
J5,Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles,1,ACCENT_IN,
"Q1, Q4, Q8",SOT-23,3,MMBT3904,
"Q2, Q3, Q5, Q7",SOT-23,4,MMBT3906,
R1,0805,1,330K,
"R10, R29, R9",0805,3,1M,
"R11, R19, R23",0805,3,1K5,
"R12, R15, R17, R21, R22, R24, R26, R5, R6",0805,9,10K,
R13,0805,1,2K2,
R14,0805,1,33K,
R16,0805,1,4K7,
R18,0805,1,6K8,
"R2, R25, R27, R28, R3, R30, R39, R4",0805,8,100K,
R20,0805,1,3K3,
"R31, R36",0805,2,22K,
"R32, R35, R37",0805,3,1K,
"R33, R34",0805,2,10R,
R38,0805,1,120K,
R7,0805,1,68K,
R8,0805,1,180K,
"RV1, RV2, RV7, RV8, RV9",Potentiometer_TT_P0915N,5,B100K,
"RV3, RV6",Potentiometer_TT_P0915N,2,B500K,
RV4,Potentiometer_TT_P0915N,1,B10K,
RV5,Potentiometer_Bourns_3296W_Vertical,1,1K,
SW1,SW_default,1,SW_SPDT,
U1,SOIC-14,1,TL074,
U2,SOIC-16,1,LM13700,
U3,SOIC-8,1,TL072,
