Designator,Mid X,Mid Y,Rotation,Layer
C1,65.5,-139.25,270.0,bottom
C10,64.0,-53.75,90.0,bottom
C11,69.5,-52.75,180.0,bottom
C12,77.0,-135.75,180.0,bottom
C13,80.75,-79.75,180.0,bottom
C14,64.0,-70.25,90.0,bottom
C15,68.75,-67.25,0.0,bottom
C16,64.7125,-135.0,180.0,bottom
C17,69.25,-79.75,180.0,bottom
C18,85.75,-147.5,180.0,bottom
C19,74.25,-143.75,180.0,bottom
C2,84.75,-106.5,270.0,bottom
C3,78.5,-112.044888,270.0,bottom
C4,87.75,-73.5,0.0,bottom
C5,80.75,-85.0,90.0,bottom
C6,88.6,-135.2125,270.0,bottom
C7,56.0,-156.0,0.0,bottom
C8,84.475,-139.845,0.0,bottom
C9,93.4,-139.3,270.0,bottom
D1,81.5,-107.5,0.0,bottom
D10,85.73,-153.0,0.0,top
D2,79.75,-105.5,180.0,bottom
D3,84.0,-84.0,0.0,bottom
D4,84.0,-86.0,180.0,bottom
D5,62.5,-61.0,0.0,bottom
D6,62.5,-63.0,180.0,bottom
D7,63.5,-158.0,0.0,bottom
H1,55.27,-60.92,180.0,bottom
J1,60.0,-135.705,180.0,top
J2,60.0,-152.295,0.0,top
J3,94.0,-152.295,0.0,top
J5,71.0,-152.295,0.0,top
Q1,91.5,-109.25,90.0,bottom
Q2,56.4375,-108.55,0.0,bottom
Q3,52.25,-108.60175,180.0,bottom
Q4,75.75,-106.5,270.0,bottom
Q5,70.0125,-102.6375,180.0,bottom
Q7,67.5,-155.0,0.0,bottom
Q8,79.75,-132.5,90.0,bottom
R1,80.0,-61.75,180.0,bottom
R10,60.6875,-108.55,0.0,bottom
R11,87.25,-58.5,270.0,bottom
R12,60.0,-90.75,90.0,bottom
R13,75.75,-73.0,180.0,bottom
R14,75.75,-75.25,0.0,bottom
R15,71.95,-105.4375,0.0,bottom
R16,71.95,-107.4375,0.0,bottom
R17,67.95,-107.4375,0.0,bottom
R18,84.0,-90.25,180.0,bottom
R19,81.0,-91.25,270.0,bottom
R2,61.0,-126.0,180.0,bottom
R20,80.75,-75.7,0.0,bottom
R21,69.25,-77.5,180.0,bottom
R22,69.25,-74.25,180.0,bottom
R23,69.25,-83.0,0.0,bottom
R24,75.5,-128.75,90.0,bottom
R25,75.5,-132.75,90.0,bottom
R26,90.5,-139.25,270.0,bottom
R27,79.225,-141.25,270.0,bottom
R28,79.25,-149.75,0.0,bottom
R29,56.0,-158.0,180.0,bottom
R3,68.25,-123.75,270.0,bottom
R30,81.225,-141.25,270.0,bottom
R31,91.3,-135.25,90.0,bottom
R32,90.25,-158.0,180.0,bottom
R33,62.5,-59.0,180.0,bottom
R34,62.5,-65.0,180.0,bottom
R35,67.5,-158.0,180.0,bottom
R36,64.5,-153.0,270.0,bottom
R37,84.0,-157.25,270.0,bottom
R38,72.25,-124.75,180.0,bottom
R39,73.25,-127.75,270.0,bottom
R4,65.5,-130.5,90.0,bottom
R5,64.75,-111.5,90.0,bottom
R6,52.0,-112.3,270.0,bottom
R7,68.5,-141.25,0.0,bottom
R8,56.4375,-111.55,0.0,bottom
R9,90.0,-120.0,90.0,bottom
RV1,75.0,-59.7,0.0,top
RV2,60.0,-119.2,0.0,top
RV3,60.0,-101.2,0.0,top
RV4,90.0,-101.2,0.0,top
RV5,85.79,-61.75,180.0,top
RV6,60.0,-83.2,0.0,top
RV7,90.0,-119.2,0.0,top
RV8,90.0,-83.2,0.0,top
RV9,90.0,-138.2,0.0,top
SW1,75.0,-98.0,90.0,top
TP1,85.0,-52.0,90.0,bottom
TP2,79.0,-67.25,90.0,bottom
TP3,71.0,-71.25,90.0,bottom
U1,70.5,-135.0,270.0,bottom
U2,75.0,-81.75,90.0,bottom
U3,80.0,-146.0,90.0,bottom
