"Reference","Value","Datasheet","Footprint","Qty","DNP"
"ATT1,SUS/REL1","A1M","~","Synth:Potentiometer_TT_P0915N","2",""
"C1,C2,C3,C4,C7,C8","0.1uF","~","Capacitor_THT:CP_Radial_D4.0mm_P2.00mm","6",""
"C5,C6","47uF","~","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm","2",""
"C9,C9_OPT1,C10","1uF","~","Synth:C_RECT_MKT_1uF","3",""
"D1,D2","1N5819","http://www.vishay.com/docs/88525/1n5817.pdf","Synth:D_DO-41_SOD81_P10.16mm_Horizontal","2",""
"D3,D4,D6,D7,D8,D9","1N4148","https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf","Synth:D_DO-35_SOD27_P7.62mm_Horizontal","6",""
"D5","LED","~","LED_THT:LED_D3.0mm","1",""
"H1","TOP_IN","~","-- mixed values --","1",""
"H2","BTM_IN","~","-- mixed values --","1",""
"H3","BTM_SW","~","Synth:PinSocket_1x04_P2.54mm_Vertical","1",""
"H4","TOP_SW","~","Synth:PinHeader_1x04_P2.54mm_Vertical","1",""
"H5","BTM_OUT","~","Synth:PinSocket_1x04_P2.54mm_Vertical","1",""
"H6","TOP_OUT","~","Synth:PinHeader_1x04_P2.54mm_Vertical","1",""
"H7","TOP_PWR","~","Synth:PinHeader_1x04_P2.54mm_Vertical","1",""
"H8","BTM_PWR","~","Synth:PinSocket_1x04_P2.54mm_Vertical","1",""
"H100,H102,H103,H104,H105,H106,H107,H108","MountingHole","~","MountingHole:MountingHole_3.2mm_M3","8",""
"J1","PWR","~","Synth:IDC-Header_2x08_P2.54mm_Vertical","1",""
"J2,TP2","OUT","~","-- mixed values --","2",""
"J3","GATE","~","Synth:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles","1",""
"J4,TP10","INV_OUT","~","-- mixed values --","2",""
"J5","Conn_01x03","~","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","1",""
"Q1","BC548","https://www.onsemi.com/pub/Collateral/BC550-D.pdf","Package_TO_SOT_THT:TO-92_HandSolder","1",""
"R1","100","~","Synth:R_Default (DIN0207)","1",""
"R2,R3","10","~","Synth:R_Default (DIN0207)","2",""
"R4","470","~","Synth:R_Default (DIN0207)","1",""
"R5,R18","1K","~","Synth:R_Default (DIN0207)","2",""
"R6","10K","~","Synth:R_Default (DIN0207)","1",""
"R7,R9,R10,R11,R12,R13,R14,R15,R16,R17","100K","~","Synth:R_Default (DIN0207)","10",""
"R8","47K","~","Synth:R_Default (DIN0207)","1",""
"SUSTAIN1","A100K","~","Synth:Potentiometer_TT_P0915N","1",""
"SW1","LOOP","~","Synth:SW_default","1",""
"TP1","TRG_INPUT","~","Connector_Pin:Pin_D1.0mm_L10.0mm","1",""
"TP3","TRG","~","Connector_Pin:Pin_D1.0mm_L10.0mm","1",""
"TP4","FBCK_VD","~","Connector_Pin:Pin_D1.0mm_L10.0mm","1",""
"TP5,TP6,TP7","C","~","Connector_Pin:Pin_D1.0mm_L10.0mm","3",""
"TP8","CAP_OUT","~","Connector_Pin:Pin_D1.0mm_L10.0mm","1",""
"TP9","CAP_IN","~","Connector_Pin:Pin_D1.0mm_L10.0mm","1",""
"U1,U2","TL074","http://www.ti.com/lit/ds/symlink/tl071.pdf","Package_DIP:DIP-14_W7.62mm_Socket_LongPads","2",""
