"Reference","Value","Datasheet","Footprint","Qty","DNP"
"ATTACK_1,DECAY_1,RELEASE_1","1M","~","Synth:Potentiometer_TT_P0915N","3",""
"C1,C2,C7,C8","0.1uF","~","-- mixed values --","4",""
"C3","10nF","~","Synth:C_RECT_WIMA_0.1uF","1",""
"C4,C10","10uF","~","-- mixed values --","2",""
"C5,C6","47uF","~","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm","2",""
"C9","1uF","~","Synth:C_RECT_MKT_1uF","1",""
"D1,D3,D6,D7,D8","1N4148","https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf","Synth:D_DO-35_SOD27_P7.62mm_Horizontal","5",""
"D2,D9,D10","LED","~","Synth:LED_D5.0mm (center Aligned)","3",""
"D4,D5","1N5819","http://www.vishay.com/docs/88525/1n5817.pdf","Synth:D_DO-41_SOD81_P10.16mm_Horizontal","2",""
"H1","TOP_4_SGL","~","Synth:PinHeader_1x04_P2.54mm_Vertical","1",""
"H2","BTM_4_SGL","~","Synth:PinSocket_1x04_P2.54mm_Vertical","1",""
"H3","BTM_8_SGL","~","Synth:PinSocket_1x08_P2.54mm_Vertical","1",""
"H4","TOP_8_SGL","~","Synth:PinHeader_1x08_P2.54mm_Vertical","1",""
"H5","TOP_8_PWR","~","Synth:PinHeader_1x08_P2.54mm_Vertical","1",""
"H6","BTM_8_PWR","~","Synth:PinSocket_1x08_P2.54mm_Vertical","1",""
"H15","PinHeader_01x02","~","Synth:PinSocket_1x02_P2.54mm_Vertical","1",""
"H16","PinSocket_01x02","~","Synth:PinHeader_1x02_P2.54mm_Vertical","1",""
"INV_OUT_1,OUT_1,TP10","OUTPUT","~","-- mixed values --","3",""
"J1","JUMPER_BUS_GATE","~","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","1",""
"J2","PWR","~","Synth:IDC-Header_2x08_P2.54mm_Vertical","1",""
"Q1,Q2,Q3","BC547","https://www.onsemi.com/pub/Collateral/BC550-D.pdf","Package_TO_SOT_THT:TO-92_HandSolder","3",""
"R1,R6,SUSTAIN_1","10K","~","-- mixed values --","3",""
"R2,R5,R7,R12","4K7, 1%","~","Synth:R_Default (DIN0207)","4",""
"R3","22K","~","Synth:R_Default (DIN0207)","1",""
"R4,R17,R18","500R","~","Synth:R_Default (DIN0207)","3",""
"R8,R11,R13","100R","~","Synth:R_Default (DIN0207)","3",""
"R9,R10","10","~","Synth:R_Default (DIN0207)","2",""
"R14,R16","100K","~","Synth:R_Default (DIN0207)","2",""
"R15","150K","~","Synth:R_Default (DIN0207)","1",""
"R19,R20","1K","~","Synth:R_Default (DIN0207)","2",""
"SW1","SW_SPDT","~","Synth:SW_default","1",""
"TP1","STG_1_IN","~","Connector_Pin:Pin_D1.0mm_L10.0mm","1",""
"TP2","STG_2_IN","~","Connector_Pin:Pin_D1.0mm_L10.0mm","1",""
"TP3","INPUT_3","~","Connector_Pin:Pin_D1.0mm_L10.0mm","1",""
"TP4","TR","~","Connector_Pin:Pin_D1.0mm_L10.0mm","1",""
"TP5","RST","~","Connector_Pin:Pin_D1.0mm_L10.0mm","1",""
"TP6","Q","~","Connector_Pin:Pin_D1.0mm_L10.0mm","1",""
"TP7","DIS","~","Connector_Pin:Pin_D1.0mm_L10.0mm","1",""
"TP8","THR","~","Connector_Pin:Pin_D1.0mm_L10.0mm","1",""
"TP9","DIS_OUT","~","Connector_Pin:Pin_D1.0mm_L10.0mm","1",""
"TP11","INV_OUTPUT","~","Connector_Pin:Pin_D1.0mm_L10.0mm","1",""
"TP12","GND","~","Connector_Pin:Pin_D1.0mm_L10.0mm","1",""
"TP13","-12V","~","Connector_Pin:Pin_D1.0mm_L10.0mm","1",""
"TP14","+12V","~","Connector_Pin:Pin_D1.0mm_L10.0mm","1",""
"TRIG_IN_1","INPUT","~","Synth:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles","1",""
"U1","TL074","http://www.ti.com/lit/ds/symlink/tl071.pdf","Package_DIP:DIP-14_W7.62mm_Socket_LongPads","1",""
"U2","ICM7555xP","http://www.intersil.com/content/dam/Intersil/documents/icm7/icm7555-56.pdf","Package_DIP:DIP-8_W7.62mm","1",""
