"Reference","Value","Datasheet","Footprint","Qty","DNP"
"AUDIO_IN_1,AUDIO_IN_2,FREQ_CV_IN_1,RES_CV_IN_1","INPUT","~","Synth:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles","4",""
"C1,C2","47uF","~","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm","2",""
"C3,C4,C5,C6,C7,C8,C15","0.1uF","~","-- mixed values --","7",""
"C9,C10,C11,C12","300pF","~","Synth:C_RECT_WIMA_0.1uF","4",""
"C13,C14","1uF","~","Capacitor_THT:CP_Radial_D4.0mm_P2.00mm","2",""
"D1,D2","1N5819","http://www.vishay.com/docs/88525/1n5817.pdf","Synth:D_DO-41_SOD81_P10.16mm_Horizontal","2",""
"D3","LED","~","Synth:LED_D5.0mm (center Aligned)","1",""
"FREQ_CTRL_1,FREQ_CV_IN_LVL_1,IN_LVL_1,IN_LVL_2,OUT_LVL_1,RES_CTRL_1,RES_CV_IN_LVL_1","B100K","~","-- mixed values --","7",""
"H1","Conn_02x05_PWR_Eurorack","~","Synth:IDC-Header_2x05_P2.54mm_Vertical","1",""
"H2,H4,H5","PinHeader_01x04","~","-- mixed values --","3",""
"H3,H6,H7","PinSocket_01x04","~","-- mixed values --","3",""
"OUT_1","OUTPUT","~","Synth:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles","1",""
"R1,R2,R5,R6,R7,R8,R10,R17,R20,R23,R26,R30","100K","~","Synth:R_Default (DIN0207)","12",""
"R3,R4","10R","~","Synth:R_Default (DIN0207)","2",""
"R9,R11,R29","68K","~","Synth:R_Default (DIN0207)","3",""
"R12","150K","~","Synth:R_Default (DIN0207)","1",""
"R13","100k","~","Synth:R_Default (DIN0207)","1",""
"R14,R15,R27","1K8","~","Synth:R_Default (DIN0207)","3",""
"R16,R18,R21,R24","91K","~","Synth:R_Default (DIN0207)","4",""
"R19,R22,R25","220K","~","Synth:R_Default (DIN0207)","3",""
"R28","500R","~","Synth:R_Default (DIN0207)","1",""
"R31","330K","~","Synth:R_Default (DIN0207)","1",""
"R32","51K","~","Synth:R_Default (DIN0207)","1",""
"R33","3K3","~","Synth:R_Default (DIN0207)","1",""
"R34","1K","~","Synth:R_Default (DIN0207)","1",""
"RV1,RV2,RV3","50K","~","Synth:Potentiometer_Bourns_3296W_Vertical","3",""
"TP1","RES_IN","~","Connector_Pin:Pin_D1.0mm_L10.0mm","1",""
"TP2","F_IN","~","Connector_Pin:Pin_D1.0mm_L10.0mm","1",""
"TP3","FREQ_CTRL","~","Connector_Pin:Pin_D1.0mm_L10.0mm","1",""
"TP4","RES_CTRL","~","Connector_Pin:Pin_D1.0mm_L10.0mm","1",""
"TP5","POLE_1","~","Connector_Pin:Pin_D1.0mm_L10.0mm","1",""
"TP6","POLE_2","~","Connector_Pin:Pin_D1.0mm_L10.0mm","1",""
"TP7","POLE_3","~","Connector_Pin:Pin_D1.0mm_L10.0mm","1",""
"TP8","POLE_4","~","Connector_Pin:Pin_D1.0mm_L10.0mm","1",""
"TP9","V_RES","~","Connector_Pin:Pin_D1.0mm_L10.0mm","1",""
"TP10","OUT","~","Connector_Pin:Pin_D1.0mm_L10.0mm","1",""
"TP11","+12V","~","Connector_Pin:Pin_D1.0mm_L10.0mm","1",""
"TP12","GND","~","Connector_Pin:Pin_D1.0mm_L10.0mm","1",""
"TP13","-12V","~","Connector_Pin:Pin_D1.0mm_L10.0mm","1",""
"U1","TL072","http://www.ti.com/lit/ds/symlink/tl071.pdf","Package_DIP:DIP-8_W7.62mm_Socket_LongPads","1",""
"U2","TL074","http://www.ti.com/lit/ds/symlink/tl071.pdf","Package_DIP:DIP-14_W7.62mm_Socket_LongPads","1",""
"U3","~","https://www.bustedgear.com/images/datasheets/CEM3320.pdf","Package_DIP:DIP-18_W7.62mm_Socket_LongPads","1",""
