"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1","0.1 uF","~","Synth:C_RECT_MKT_1uF","1",""
"C2,C5,C6,C7,C8","0.1uF","~","Capacitor_THT:CP_Radial_D4.0mm_P2.00mm","5",""
"C3,C4","47uF","~","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","2",""
"CLK_SPD1","B250K","~","Synth:Potentiometer_TT_P0915N","1",""
"CV_LVL1,SW1,SW2,SW3,SW4,SW5,SW6,SW7,SW8,SW_CLK1","~","~","Synth:SW_default","10",""
"D1,D2,D5,D6,D7,D8,D9,D10,D11,D12,D13,D22,D23,D24,D25,D26,D27,D28,D29","1N4148","https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf","Synth:D_DO-35_SOD27_P7.62mm_Horizontal","19",""
"D3,D4","1N5819","http://www.vishay.com/docs/88525/1n5817.pdf","Synth:D_DO-41_SOD81_P10.16mm_Horizontal","2",""
"D14,D15,D16,D17,D18,D19,D20,D21","LED","~","LED_THT:LED_D3.0mm","8",""
"H1","BTM_CLK","~","Synth:PinSocket_1x04_P2.54mm_Vertical","1",""
"H2","TOP_CLK","~","Synth:PinHeader_1x04_P2.54mm_Vertical","1",""
"H3","BTM_CTRL","~","Synth:PinSocket_1x08_P2.54mm_Vertical","1",""
"H4","TOP_CTRL","~","Synth:PinHeader_1x08_P2.54mm_Vertical","1",""
"H5","BTM_SGL_RW_2","~","Synth:PinSocket_1x04_P2.54mm_Vertical","1",""
"H6","BTM_SGL_RW_1","~","Synth:PinSocket_1x04_P2.54mm_Vertical","1",""
"H7","TOP_SGL_RW_2","~","Synth:PinHeader_1x04_P2.54mm_Vertical","1",""
"H8","TOP_SGL_RW_1","~","Synth:PinHeader_1x04_P2.54mm_Vertical","1",""
"H9,H10,H11,H12,H13,H14,H15,H16","MountingHole","~","MountingHole:MountingHole_3.2mm_M3","8",""
"H17","TOP_PWR","~","Synth:PinHeader_1x08_P2.54mm_Vertical","1",""
"H18","BTM_PWR","~","Synth:PinSocket_1x08_P2.54mm_Vertical","1",""
"H19","TOP_LED_RW_1","~","Synth:PinHeader_1x04_P2.54mm_Vertical","1",""
"H20","TOP_LED_RW_2","~","Synth:PinHeader_1x04_P2.54mm_Vertical","1",""
"H21","BTM_LED_RW_1","~","Synth:PinSocket_1x04_P2.54mm_Vertical","1",""
"H22","BTM_LED_RW_2","~","Synth:PinSocket_1x04_P2.54mm_Vertical","1",""
"J1","CLK_IN","~","Synth:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles","1",""
"J2","CLK OUT","~","Synth:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles","1",""
"J3","PWR","~","Synth:IDC-Header_2x08_P2.54mm_Vertical","1",""
"J4","GATE OUT","~","Synth:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles","1",""
"J5","CV OUT","~","Synth:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles","1",""
"J6","GATE_BUS_ENABLE","~","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","1",""
"J7","CV_BUS_ENABLE","~","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","1",""
"J8","CV_LVL_BTM","~","-- mixed values --","1",""
"J9","CV_LVL_TOP","~","-- mixed values --","1",""
"Q1","BC547","https://www.onsemi.com/pub/Collateral/BC550-D.pdf","Package_TO_SOT_THT:TO-92_HandSolder","1",""
"Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9","2N3904","https://www.onsemi.com/pub/Collateral/2N3903-D.PDF","Package_TO_SOT_THT:TO-92_HandSolder","8",""
"R1,R3,R4,R7,R8,R11,R19,R20,R21,R22,R23,R24,R25,R26,R27","100K","~","Synth:R_Default (DIN0207)","15",""
"R2,RV9","2K","~","-- mixed values --","2",""
"R5,R15,R18","1K","~","Synth:R_Default (DIN0207)","3",""
"R6","47K","~","Synth:R_Default (DIN0207)","1",""
"R9,R10","10","~","Synth:R_Default (DIN0207)","2",""
"R12","4K7","~","Synth:R_Default (DIN0207)","1",""
"R13","68K","~","Synth:R_Default (DIN0207)","1",""
"R14","200","~","Synth:R_Default (DIN0207)","1",""
"R16","18K","~","Synth:R_Default (DIN0207)","1",""
"R17","51K","~","Synth:R_Default (DIN0207)","1",""
"RV1,RV2,RV3,RV4,RV5,RV6,RV7,RV8","B100K","~","Synth:Potentiometer_TT_P0915N","8",""
"RV10","5K","~","Potentiometer_THT:Potentiometer_Bourns_3296W_Vertical","1",""
"TP1,TP2,TP3,TP4,TP5,TP6,TP7,TP8,TP9,TP10,TP11","TestPoint","~","Connector_Pin:Pin_D1.0mm_L10.0mm","11",""
"U1","TL074","http://www.ti.com/lit/ds/symlink/tl071.pdf","Package_DIP:DIP-14_W7.62mm_Socket_LongPads","1",""
"U2","4017","http://www.intersil.com/content/dam/Intersil/documents/cd40/cd4017bms-22bms.pdf","Package_DIP:DIP-16_W7.62mm_Socket_LongPads","1",""
