"#","Reference","Qty","Value","Footprint","DNP"
"1","C1","1","0.1 uF","Capacitor_THT:C_Rect_L7.2mm_W3.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2",""
"2","C100, C200","2","47uF","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm",""
"3","C101, C102, C103, C201, C202","5","0.1uF","Capacitor_THT:CP_Radial_D4.0mm_P2.00mm",""
"4","CLK_SPD1","1","B250K","Potentiometer_THT:Potentiometer_TT_P0915N",""
"5","CV_LVL1, SW31, SW32, SW33, SW34, SW35, SW36, SW37, SW38, SW_CLK1","10","~","synth-custom:SPDT_Toggle",""
"6","D1, D2, D3, D4, D5, D6, D7, D8, D31, D32, D33, D34, D35, D36, D37, D38, D40, D41, D50","19","1N4148","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal",""
"7","D11, D12, D13, D14, D15, D16, D17, D18","8","LED","LED_THT:LED_D3.0mm",""
"8","D100, D200","2","1N5819","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal",""
"9","H1, H2, H17, H18, H19, H20, H21, H22","8","MountingHole","MountingHole:MountingHole_3.5mm",""
"10","H3","1","BTM_PWR","synth-custom:PinSocket_1x08_P2.00mm_Vertical",""
"11","H4","1","TOP_PWR","synth-custom:PinHeader_1x08_P2.00mm_Vertical",""
"12","H5","1","TOP_LED_RW_1","synth-custom:PinHeader_1x04_P2.00mm_Vertical",""
"13","H6","1","TOP_SGL_RW_1","synth-custom:PinHeader_1x04_P2.00mm_Vertical",""
"14","H7","1","TOP_SGL_RW_2","synth-custom:PinHeader_1x04_P2.00mm_Vertical",""
"15","H8","1","BTM_CTRL","synth-custom:PinSocket_1x08_P2.00mm_Vertical",""
"16","H9","1","TOP_CTRL","synth-custom:PinHeader_1x08_P2.00mm_Vertical",""
"17","H10","1","TOP_LED_RW_2","synth-custom:PinHeader_1x04_P2.00mm_Vertical",""
"18","H11","1","TOP_CLK","synth-custom:PinHeader_1x04_P2.00mm_Vertical",""
"19","H12","1","BTM_CLK","synth-custom:PinSocket_1x04_P2.00mm_Vertical",""
"20","H13","1","BTM_LED_RW_1","synth-custom:PinSocket_1x04_P2.00mm_Vertical",""
"21","H14","1","BTM_LED_RW_2","synth-custom:PinSocket_1x04_P2.00mm_Vertical",""
"22","H15","1","BTM_SGL_RW_1","synth-custom:PinSocket_1x04_P2.00mm_Vertical",""
"23","H16","1","BTM_SGL_RW_2","synth-custom:PinSocket_1x04_P2.00mm_Vertical",""
"24","J1","1","CV OUT","synth-custom:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles",""
"25","J2","1","CLK_IN","synth-custom:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles",""
"26","J3","1","CLK OUT","synth-custom:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles",""
"27","J4","1","GATE OUT","synth-custom:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles",""
"28","J100","1","PWR","synth-custom:CONN_02x08_PWR",""
"29","Q11, Q12, Q13, Q14, Q15, Q16, Q17, Q18","8","2N3904","Package_TO_SOT_THT:TO-92_Inline",""
"30","Q50","1","BC547","Package_TO_SOT_THT:TO-92_Inline",""
"31","R1","1","68K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"32","R2","1","51K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"33","R3","1","18K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"34","R4, R5, R10","3","1K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"35","R6","1","200","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"36","R7, R9, R31, R40, R50, R52, R53","7","100K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"37","R8","1","2K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"38","R51","1","47K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"39","R54","1","4K7","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"40","R100, R200","2","10","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"41","RV1, RV2, RV3, RV4, RV5, RV6, RV7, RV8","8","B100K","Potentiometer_THT:Potentiometer_TT_P0915N",""
"42","RV9","1","5K","Potentiometer_THT:Potentiometer_Bourns_3296W_Vertical",""
"43","RV10","1","2K","Potentiometer_THT:Potentiometer_Bourns_3296W_Vertical",""
"44","U1","1","TL074","Package_DIP:DIP-14_W7.62mm_Socket_LongPads",""
"45","U2","1","4017","Package_DIP:DIP-16_W7.62mm_Socket_LongPads",""
