Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C12, C13, C14, C17, C2, C4, C6, C7, C8, C9",0805,13,0.1uF,
"C15, C16",CP_Radial_D4.0mm_P2.00mm,2,10uF,
"C18, C19, C20, C21, C23, C24",0805,6,100nF,
C22,0805,1,10uF,
"C25, C26",0805,2,1uF,
"C27, C28",0805,2,10pF,
C29,0805,1,2.2uF,
"C3, C5",CP_Radial_D5.0mm_P2.50mm,2,47uF,
CV_OUT_1,Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles,1,CV_OUT_1,
CV_OUT_2,Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles,1,CV_OUT_2,
CV_OUT_3,Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles,1,CV_OUT_3,
CV_OUT_4,Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles,1,CV_OUT_4,
D1,D_SOD-123,1,1N4148,
"D2, D3",D_SOD-123,2,1N5819,
D4,0805,1,LED,
"D5, D6, D7, D8",LED_D3.0mm,4,RED_OUT_20mA,
FB1,0805,1,120R,
GATE_1,Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles,1,GATE_1,
GATE_2,Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles,1,GATE_3,
GATE_3,Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles,1,GATE_2,
GATE_4,Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles,1,GATE_4,
H1,IDC-Header_2x05_P2.54mm_Vertical,1,Conn_02x05_PWR_Eurorack,
J1,SD-50BV (DIN5),1,SD-50BV (DIN5),
J2,PinHeader_1x03_P2.54mm_Vertical,1,BOOT_RUN,
J3,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04,
MOD_1,Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles,1,MOD_1,
MOD_2,Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles,1,MOD_2,
MOD_3,Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles,1,MOD_3,
MOD_4,Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles,1,MOD_4,
"Q1, Q2, Q3, Q4",SOT-23,4,BC848,
R1,0805,1,220R,
"R10, R13, R16, R19, R22, R25, R4, R55, R58, R61, R64, R7",0805,12,10K [0.1%],
"R11, R14, R17, R20, R23, R26, R5, R56, R59, R62, R65, R8",0805,12,30K [0.1%],
"R12, R15, R18, R21, R24, R3, R36, R37, R48, R49, R54, R57, R6, R60, R63, R9",0805,16,1K,
"R2, R66, R67",0805,3,10K,
"R27, R28, R68",0805,3,10R,
R29,0805,1,2K,
"R30, R31, R43, R44",0805,4,470R,
"R32, R33, R39, R41, R42, R45, R51, R53",0805,8,100K,
"R34, R35, R46, R47",0805,4,22K,
"R38, R40, R50, R52",0805,4,68K,
SW1,SW_default,1,ON-OFF-ON,
U1,DIP-8_W7.62mm,1,6N135-L,
"U10, U3, U5",MSOP-10_3x3mm_P0.5mm,3,MCP4728,
U11,LQFP-64_10x10mm_P0.5mm,1,STM32F411RETx,
"U2, U4, U6, U7",SOIC-14,4,TL074,
U8,SOT-223-3_TabPin2,1,AMS1117-3.3,
VEL_1,Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles,1,VEL_1,
VEL_2,Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles,1,VEL_2,
VEL_3,Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles,1,VEL_3,
VEL_4,Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles,1,VEL_4,
Y1,Crystal_SMD_HC49-SD_HandSoldering,1,20MHZ,
