Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C15, C17, C2, C20, C29, C3, C30, C4, C6, C7",0805,11,100nF,
"C10, C11",0805,2,20pF,
C12,0805,1,2.2uF,
C24,0805,1,470nF,
C5,0805,1,10uF,
"C8, C9",0805,2,1uF,
"D5, D6, D7, D8",D_SOD-323_HandSoldering,4,1N5817,
FB1,0805,1,120R,
J5,PinHeader_1x03_P2.54mm_Vertical,1,BOOT_RUN,
J6,PinHeader_1x03_P2.54mm_Vertical,1,RX/TX,
J7,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04,
J8,PinHeader_1x03_P2.54mm_Vertical,1,I2C1,
"R3, R4",0805,2,10K,
"R37, R47",0805,2,40K [0.1%],
"R38, R39, R41, R48, R49, R51",0805,6,10K [0.1%],
"R40, R50",0805,2,22K [1%],
"R42, R52",0805,2,18K [1%],
R5,0805,1,100R,
R7,0805,1,1K,
"TP4, TP7",TestPoint_Loop_D2.50mm_Drill1.0mm,2,CV_IN,
"TP5, TP8",TestPoint_Loop_D2.50mm_Drill1.0mm,2,CV_OUT_1,
"TP6, TP9",TestPoint_Loop_D2.50mm_Drill1.0mm,2,CV_OUT_2,
U1,LQFP-64_10x10mm_P0.5mm,1,STM32F411RETx,
U11,DIP-10_W7.62mm_LongPads,1,DAC80502,
U3,SOIC-8,1,TL072,
U5,SOIC-8,1,MCP6002,
U6,SOT-23,1,LM4040DBZ-2.5,
"XP12, XP14, XP15, XP3, XP6, XP8, XP9",PinSocket_1x04_P2.54mm_Vertical,7,Conn_01x04_Socket,
XP2,PinSocket_1x08_P2.54mm_Vertical,1,Conn_01x08_Socket,
Y1,Crystal_SMD_HC49-SD,1,20MHZ,
