Designator,Mid X,Mid Y,Rotation,Layer
C1,170.75,-102.5,180.0,bottom
C10,155.2,-94.75,270.0,bottom
C11,155.3,-85.0,90.0,bottom
C12,179.75,-86.5,90.0,bottom
C15,140.75,-109.25,180.0,bottom
C17,141.0,-98.75,180.0,bottom
C2,170.75,-89.6,180.0,bottom
C20,148.2125,-114.75,0.0,bottom
C24,166.6,-119.3,0.0,bottom
C29,171.1,-123.9,90.0,bottom
C3,183.25,-89.6,0.0,bottom
C30,172.9,-117.2,180.0,bottom
C4,183.25,-102.5,0.0,bottom
C5,183.25,-87.5,0.0,bottom
C6,170.9,-84.1,180.0,bottom
C7,168.2,-93.2,180.0,bottom
C8,165.4,-88.4,180.0,bottom
C9,165.35,-84.4,0.0,bottom
D5,151.25,-100.25,270.0,bottom
D6,151.225,-104.405,270.0,bottom
D7,133.75,-101.75,270.0,bottom
D8,133.75,-106.0,270.0,bottom
FB1,165.4,-86.4,0.0,bottom
J5,167.525,-112.0,90.0,bottom
J6,188.0,-99.96,0.0,bottom
J7,188.0,-110.27,180.0,bottom
J8,158.485,-112.0,90.0,bottom
R3,170.9,-86.2,180.0,bottom
R37,153.5,-124.5,270.0,bottom
R38,147.275,-111.5,270.0,bottom
R39,148.25,-99.75,180.0,bottom
R4,167.5,-108.25,90.0,bottom
R40,140.5,-121.5,180.0,bottom
R41,148.25,-101.75,180.0,bottom
R42,144.5,-121.525,180.0,bottom
R47,151.0,-124.5,270.0,bottom
R48,137.5,-112.75,270.0,bottom
R49,136.75,-101.0,0.0,bottom
R5,164.6,-97.75,180.0,bottom
R50,140.5,-119.5,180.0,bottom
R51,136.75,-103.0,0.0,bottom
R52,144.5,-119.5,180.0,bottom
R7,167.9,-123.8,270.0,bottom
TP4,156.4,-122.6,180.0,bottom
TP5,150.25,-110.5,180.0,bottom
TP6,147.25,-95.25,180.0,bottom
TP7,147.7,-128.0,180.0,bottom
TP8,134.5,-111.75,180.0,bottom
TP9,137.75,-95.25,180.0,bottom
U1,177.0,-96.0,90.0,bottom
U11,179.1,-118.3,90.0,top
U3,142.5,-113.0,270.0,bottom
U5,142.475,-102.345,270.0,bottom
U6,170.5,-120.0,180.0,bottom
XP12,159.99,-101.0,270.0,top
XP14,132.0,-75.81,0.0,top
XP15,188.0,-75.81,0.0,top
XP2,159.985,-128.0,270.0,top
XP3,188.0,-123.19,180.0,top
XP6,132.0,-123.19,180.0,top
XP8,159.99,-105.0,270.0,top
XP9,159.99,-79.0,270.0,top
Y1,160.0,-90.0,90.0,bottom
