Designator,Footprint,Quantity,Value,LCSC Part #
"C13, C22",CP_Radial_D6.3mm_P2.50mm,2,47uF,
"C14, C16, C21, C23, C25, C26, C27, C28",0805,8,100nF,
"C18, C19",CP_Radial_D4.0mm_P2.00mm,2,10uF,
"D1, D3",D_SOD-323_HandSoldering,2,1N5819WS,
D2,0805,1,3.3V_STATUS_LED,
"D4, D9",D_SOD-323_HandSoldering,2,1N4148WS,
H1,IDC-Header_2x05_P2.54mm_Vertical,1,POWER_CONN,
"J1, J4",Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles,2,CV_INPUT,
"J10, J9",Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles,2,TRIG_INPUT,
"J11, J12",Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles,2,TRIG_OUT,
J13,PinHeader_2x03_P2.54mm_Vertical,1,Conn_02x03_Odd_Even,
"J2, J3",Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles,2,CV_OUTPUT,
"Q1, Q2, Q3, Q4",SOT-23,4,MMBT3904,
"R1, R2, R56, R57, R59, R60",0805,6,1K,
"R10, R12, R14, R16, R18, R20, R22, R24, R26, R28, R30, R32, R34, R35, R53, R54",0805,16,10K,
"R11, R13, R15, R17, R19, R21, R23, R25, R27, R29, R31, R33",0805,12,470R,
"R36, R55",0805,2,100K,
"R43, R45",0805,2,30K [0.1%],
"R44, R46",0805,2,10K [0.1%],
"R6, R9",0805,2,10R,
R8,0805,1,2K,
"SW1, SW10, SW2, SW5, SW6, SW9",ML6-H2T2GQA,6,CH_1_SW,
"SW11, SW12, SW3, SW4, SW7, SW8",ML6-H2T2GQA,6,CH_2_SW,
"SW13, SW15",SW_PUSH_6mm,2,SW_Push,
SW14,RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm_CircularMountingHoles,1,ENCODER,
"U10, U7",SOIC-16,2,74HC165,
U2,TO-252-3_TabPin2,1,LM1117DT-3.3,
U4,SOIC-8,1,OPA2277,
"U8, U9",SOIC-16,2,74HC595,
XP1,PinHeader_1x08_P2.54mm_Vertical,1,Conn_01x08_Pin,
"XP10, XP11, XP13, XP16, XP4, XP5, XP7",PinHeader_1x04_P2.54mm_Vertical,7,Conn_01x04_Pin,
