Designator,Mid X,Mid Y,Rotation,Layer
C13,58.0,-64.0,180.0,bottom
C14,58.0,-68.5,180.0,bottom
C16,88.25,-148.0,270.0,bottom
C18,102.75,-65.277401,270.0,bottom
C19,99.0,-53.5,180.0,top
C21,82.5,-155.5,90.0,bottom
C22,82.43238,-53.5,0.0,bottom
C23,82.5,-58.0,0.0,bottom
C25,87.0,-78.5,90.0,bottom
C26,66.2875,-90.5,180.0,bottom
C27,90.25,-90.5,180.0,bottom
C28,66.25,-77.5,180.0,bottom
D1,51.5,-62.75,90.0,bottom
D2,107.745,-64.0,0.0,bottom
D3,76.0,-52.5,270.0,bottom
D4,72.0,-139.0,180.0,bottom
D9,72.0,-153.75,180.0,bottom
H1,61.21,-55.48,90.0,bottom
J1,56.0,-137.375,0.0,top
J10,67.0,-152.295,0.0,top
J11,104.0,-137.375,0.0,top
J12,104.0,-152.295,0.0,top
J13,78.995,-135.835,180.0,bottom
J2,93.0,-137.375,0.0,top
J3,93.0,-152.295,0.0,top
J4,56.0,-152.295,0.0,top
J9,67.0,-137.375,0.0,top
Q1,72.0,-135.0,0.0,bottom
Q2,72.0,-150.25,0.0,bottom
Q3,100.0,-137.75,180.0,bottom
Q4,100.0,-152.8,180.0,bottom
R1,89.75,-143.0,180.0,bottom
R10,81.5,-61.5,180.0,bottom
R11,79.6,-67.0,90.0,bottom
R12,93.5,-64.5,180.0,bottom
R13,91.5,-70.25,90.0,bottom
R14,102.5,-73.0,180.0,bottom
R15,100.3,-78.75,90.0,bottom
R16,105.5,-85.25,180.0,bottom
R17,103.5,-91.0,90.0,bottom
R18,106.0,-100.0,90.0,bottom
R19,100.2,-103.25,90.0,bottom
R2,89.75,-158.0,180.0,bottom
R20,97.0,-108.5,90.0,bottom
R21,91.4,-111.75,90.0,bottom
R22,85.0,-112.0,90.0,bottom
R23,79.5,-114.75,90.0,bottom
R24,63.0,-109.0,90.0,bottom
R25,67.5,-111.75,90.0,bottom
R26,54.5,-100.5,90.0,bottom
R27,58.9,-103.0,90.0,bottom
R28,53.4,-84.0,270.0,bottom
R29,55.5,-91.0,90.0,bottom
R30,55.0,-72.0,270.0,bottom
R31,58.7,-79.0,90.0,bottom
R32,70.0,-64.0,180.0,bottom
R33,67.6,-69.9,90.0,bottom
R34,64.5,-135.75,90.0,bottom
R35,72.0,-143.0,0.0,bottom
R36,72.2,-141.0,180.0,bottom
R43,86.0,-154.5,180.0,bottom
R44,85.0,-157.5,90.0,bottom
R45,84.5,-145.0,180.0,bottom
R46,83.5,-142.0,270.0,bottom
R53,64.5,-150.5,90.0,bottom
R54,72.0,-157.75,0.0,bottom
R55,72.2,-155.75,180.0,bottom
R56,100.0,-141.0,0.0,bottom
R57,100.0,-143.0,0.0,bottom
R59,100.0,-156.0,0.0,bottom
R6,53.5,-63.0,90.0,bottom
R60,100.0,-158.0,0.0,bottom
R8,107.75,-66.065,180.0,bottom
R9,78.0,-52.5,90.0,bottom
SW1,80.0,-66.0,0.0,top
SW10,56.0,-90.0,0.0,top
SW11,59.21539,-78.0,0.0,top
SW12,68.0,-69.21539,0.0,top
SW13,61.0,-124.0,0.0,top
SW14,80.0,-90.25,0.0,top
SW15,99.0,-124.0,0.0,top
SW2,92.0,-69.21539,0.0,top
SW3,100.78461,-78.0,0.0,top
SW4,104.0,-90.0,0.0,top
SW5,100.78461,-102.0,0.0,top
SW6,92.0,-110.78461,0.0,top
SW7,80.0,-114.0,0.0,top
SW8,68.0,-110.78461,0.0,top
SW9,59.21539,-102.0,0.0,top
TP1,52.25,-68.5,0.0,top
TP2,91.25,-54.65,0.0,top
TP3,76.25,-57.75,0.0,top
U10,68.0,-84.0,270.0,bottom
U2,105.0,-56.26,90.0,bottom
U4,84.5,-149.75,0.0,bottom
U7,92.0,-84.0,270.0,bottom
U8,92.0,-97.0,270.0,bottom
U9,68.0,-97.0,270.0,bottom
XP1,79.985,-128.0,90.0,bottom
XP10,79.99,-79.0,90.0,bottom
XP11,79.99,-101.0,90.0,bottom
XP13,52.0,-75.81,0.0,bottom
XP16,108.0,-75.81,0.0,bottom
XP4,108.0,-123.19,180.0,bottom
XP5,52.0,-123.19,180.0,bottom
XP7,79.99,-105.0,90.0,bottom
