Designator,Mid X,Mid Y,Rotation,Layer
C1,76.5,-142.0,90.0,bottom
C10,51.5,-106.0,270.0,bottom
C11,55.5,-106.0,90.0,bottom
C14,67.5,-112.5,90.0,bottom
C15,65.5,-70.5,90.0,bottom
C16,51.5,-70.5,90.0,bottom
C17,59.0,-156.0,270.0,bottom
C18,68.0,-148.0,0.0,bottom
C19,58.5,-142.0375,270.0,bottom
C2,69.5,-142.0,90.0,bottom
C20,53.5,-146.0,270.0,bottom
C21,76.5,-94.5,180.0,bottom
C22,78.75,-86.0375,90.0,bottom
C23,75.0,-100.0,180.0,bottom
C24,55.0,-100.5,0.0,bottom
C25,53.682379,-94.5,180.0,bottom
C26,53.25,-86.0,270.0,bottom
C27,63.0375,-138.0,0.0,bottom
C3,71.0,-115.0,0.0,bottom
C4,58.5,-115.0,180.0,bottom
C5,58.5,-128.0,180.0,bottom
C6,72.0,-126.5,0.0,bottom
C7,55.5,-110.0,270.0,bottom
C8,55.0,-125.0,270.0,bottom
C9,56.0,-118.0,180.0,bottom
D1,75.25,-87.25,90.0,top
D2,70.775,-93.75,0.0,bottom
D3,55.0,-87.25,270.0,top
FB1,53.5,-106.0,90.0,bottom
H1,64.3125,-85.73,270.0,bottom
J1,56.0,-136.3,0.0,top
J2,74.0,-136.38,0.0,top
J3,56.0,-151.7,180.0,top
J4,74.0,-151.7,180.0,top
J5,52.0,-122.475,180.0,bottom
J6,78.0,-113.445,0.0,bottom
J7,78.0,-124.0,0.0,bottom
Q1,78.0625,-82.0,180.0,bottom
Q2,52.0625,-82.0,0.0,bottom
R1,51.5,-152.5,90.0,bottom
R10,59.25,-133.75,180.0,bottom
R11,79.0,-153.0,90.0,bottom
R12,59.0,-146.0,0.0,bottom
R13,64.0,-150.5,270.0,bottom
R14,70.75,-145.75,180.0,bottom
R15,67.25,-133.75,0.0,bottom
R16,67.25,-135.95,0.0,bottom
R17,69.0,-151.0,90.0,bottom
R18,68.0,-154.0,180.0,bottom
R19,55.0,-121.0,90.0,bottom
R2,51.25,-138.5,90.0,bottom
R20,52.5,-128.0,180.0,bottom
R22,60.0,-77.0,270.0,bottom
R23,55.0,-77.0,270.0,bottom
R24,55.0,-61.0,90.0,bottom
R25,58.0,-61.0,90.0,bottom
R26,76.0,-61.0,90.0,bottom
R27,76.0,-77.0,270.0,bottom
R28,73.0,-77.0,270.0,bottom
R29,68.0,-77.0,270.0,bottom
R3,53.0,-142.0,0.0,bottom
R30,65.0,-77.0,270.0,bottom
R31,62.0,-61.0,90.0,bottom
R32,65.0,-61.0,90.0,bottom
R33,68.0,-61.0,90.0,bottom
R34,73.0,-61.0,90.0,bottom
R35,62.0,-77.0,270.0,bottom
R36,79.0,-78.0,90.0,bottom
R37,51.0,-86.0,270.0,bottom
R38,75.25,-91.25,270.0,top
R39,63.0,-140.0,0.0,bottom
R4,51.5,-148.5,270.0,bottom
R40,70.82,-91.725,180.0,bottom
R41,55.0,-91.25,270.0,top
R42,56.0,-56.0,90.0,bottom
R43,75.0,-56.0,90.0,bottom
R5,71.75,-142.0,90.0,bottom
R6,78.0,-131.0,180.0,bottom
R7,78.0,-133.0,180.0,bottom
R8,79.0,-149.0,90.0,bottom
R9,62.0,-150.5,90.0,bottom
SW1,56.0,-55.0,0.0,top
SW2,75.0,-55.0,0.0,top
SW3,65.0,-99.25,0.0,top
TP1,78.0,-89.5,0.0,bottom
TP2,62.0,-52.0,0.0,bottom
TP3,51.5,-90.0,0.0,bottom
U1,56.5,-151.095,90.0,bottom
U10,65.0,-100.0,270.0,bottom
U11,62.95,-135.0625,270.0,bottom
U2,56.0,-137.5,90.0,bottom
U3,77.5,-137.35,270.0,bottom
U4,74.0,-150.0,270.0,bottom
U5,71.5,-137.35,270.0,bottom
U6,64.675,-121.325,90.0,bottom
U7,58.0,-69.0,180.0,bottom
U8,65.0,-72.0,270.0,top
U9,72.175,-69.0,180.0,bottom
