Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C13, C14, C17, C19, C2, C20, C21, C23, C24, C26, C27, C28, C29, C3, C30, C4, C5",0805,18,100nF,
"C10, C9",CP_Radial_D6.3mm_P2.50mm,2,47uF,
"C11, C12, C7, C8",CP_Radial_D4.0mm_P2.00mm,4,10uF,
"C15, C16",0805,2,20pF,
C18,0805,1,2.2uF,
C22,0805,1,1uF,
C25,0805,1,10uF,
C6,0805,1,470nF,
D1,0805,1,3.3V_STATUS_LED,
"D2, D3, D4, D5",D_SOD-323_HandSoldering,4,1N5817,
J1,PinHeader_1x04_P2.54mm_Vertical,1,ENC_CONN,
J10,PinHeader_1x03_P2.54mm_Vertical,1,I2C1,
J11,PinHeader_1x03_P2.54mm_Vertical,1,MODE,
J2,PinHeader_1x04_P2.54mm_Vertical,1,BTN_CONN,
J3,PinHeader_2x04_P2.54mm_Vertical,1,SPI_CONN,
J4,PinHeader_2x03_P2.54mm_Vertical,1,CV_CONN,
J5,PinHeader_2x04_P2.54mm_Vertical,1,TRIG_CONN,
J6,PinHeader_1x05_P2.54mm_Vertical,1,POWER_CONN,
J7,PinHeader_1x03_P2.54mm_Vertical,1,BOOT_RUN,
J8,PinHeader_1x03_P2.54mm_Vertical,1,RX/TX,
J9,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04,
R1,0805,1,1K,
"R10, R12, R13, R14, R15, R16, R3, R31, R4, R5, R6, R7, R8, R9",0805,14,10K,
R11,0805,1,100R,
"R17, R26",0805,2,18K [0.1%],
"R18, R27",0805,2,22K [0.1%],
"R19, R28",0805,2,40K [0.1%],
R2,0805,1,2K,
"R20, R21, R22, R23, R29, R30",0805,6,10K [0.1%],
"R24, R25",0805,2,29K4 [0.1%],
"RV1, RV2",Potentiometer_Bourns_3296W_Vertical,2,1K,
TP1,TestPoint_Loop_D2.50mm_Drill1.0mm,1,"2,5V_REF",
TP10,TestPoint_Loop_D2.50mm_Drill1.0mm,1,DAC_B_OUT,
"TP11, TP6",TestPoint_Loop_D2.50mm_Drill1.0mm,2,CV_IN,
"TP12, TP7",TestPoint_Loop_D2.50mm_Drill1.0mm,2,CV_OUT_1,
"TP13, TP8",TestPoint_Loop_D2.50mm_Drill1.0mm,2,CV_OUT_2,
TP2,TestPoint_Loop_D2.50mm_Drill1.0mm,1,+12V_REF,
TP3,TestPoint_Loop_D2.50mm_Drill1.0mm,1,-12V_REF,
TP4,TestPoint_Loop_D2.50mm_Drill1.0mm,1,"3,3VA_REF",
TP5,TestPoint_Loop_D2.50mm_Drill1.0mm,1,"3,3V_REF",
TP9,TestPoint_Loop_D2.50mm_Drill1.0mm,1,DAC_A_OUT,
U1,SOIC-8,1,TL072,
U2,SOIC-8,1,OPA2277,
U3,SOIC-8,1,MCP6002,
U4,SOT-23,1,LM4040DBZ-2.5,
U5,TO-252-3_TabPin2,1,LM1117DT-3.3,
U6,SOT-23,1,MCP1703Ax-330xxTT,
U7,LQFP-64_10x10mm_P0.5mm,1,STM32F411RETx,
U8,SOIC-14,1,MCP4922-ESL,
Y1,Crystal_SMD_HC49-SD,1,20MHZ,
