Designator,Mid X,Mid Y,Rotation,Layer
C1,100.75,-110.75,180.0,bottom
C10,69.5,-121.5,180.0,bottom
C11,59.25,-95.25,90.0,bottom
C12,66.25,-111.75,90.0,bottom
C13,69.25,-125.75,0.0,top
C14,69.75,-118.75,0.0,top
C15,52.75,-86.75,0.0,bottom
C16,52.75,-78.25,0.0,bottom
C17,73.25,-91.75,270.0,top
C18,67.0,-81.0,180.0,top
C19,69.9625,-79.5,180.0,bottom
C2,90.4625,-104.75,180.0,bottom
C20,75.0,-93.9625,90.0,bottom
C21,69.5,-89.0,90.0,bottom
C22,71.25,-93.25,180.0,bottom
C23,82.75,-77.0,0.0,bottom
C24,84.0,-91.5,90.0,bottom
C25,66.5,-89.0,90.0,bottom
C26,85.25,-107.75,270.0,bottom
C27,85.0375,-97.0,0.0,bottom
C28,71.5375,-102.0,180.0,bottom
C29,71.5,-98.5,180.0,bottom
C3,84.475,-125.0,270.0,bottom
C30,100.0,-103.0375,270.0,bottom
C4,80.25,-116.25,0.0,bottom
C5,89.25,-98.5,270.0,top
C6,71.0,-95.5,180.0,bottom
C7,61.0,-112.75,0.0,bottom
C8,54.0,-111.5,0.0,bottom
C9,69.5,-128.6,180.0,bottom
D1,52.25,-96.25,0.0,top
D2,89.0,-102.75,0.0,top
D3,89.0,-104.75,180.0,top
D4,94.0,-101.22325,0.0,top
D5,94.0,-103.25,180.0,top
J1,95.0,-84.81,0.0,top
J10,91.0,-87.5,0.0,bottom
J11,56.25,-69.75,0.0,bottom
J2,113.19,-127.0,270.0,top
J3,73.81,-53.73,90.0,top
J4,77.27,-129.54,0.0,top
J5,91.27,-128.81,0.0,top
J6,57.92,-127.0,270.0,top
J7,99.25,-88.5,180.0,bottom
J8,77.96,-68.5,270.0,bottom
J9,98.0,-65.23,180.0,bottom
R1,67.0,-95.5,0.0,bottom
R10,86.5,-132.75,0.0,bottom
R11,66.5,-93.5,180.0,bottom
R12,75.5,-91.75,270.0,top
R13,95.25,-91.75,0.0,bottom
R14,99.25,-80.75,0.0,top
R15,99.25,-78.5,0.0,top
R16,99.25,-83.0,0.0,top
R17,89.25,-107.75,270.0,bottom
R18,87.25,-107.75,90.0,bottom
R19,86.5,-111.75,270.0,bottom
R2,52.25,-94.0,180.0,top
R20,88.5,-111.75,90.0,bottom
R21,93.75,-104.0,270.0,bottom
R22,77.0,-118.75,270.0,bottom
R23,88.5,-117.5,270.0,bottom
R24,87.75,-120.75,0.0,bottom
R25,76.25,-121.75,180.0,bottom
R26,104.0,-103.0375,270.0,bottom
R27,102.0,-103.0375,90.0,bottom
R28,101.3,-107.0,270.0,bottom
R29,99.25,-107.0,90.0,bottom
R3,108.75,-76.5,270.0,top
R30,95.75,-104.0,270.0,bottom
R31,60.0,-69.75,0.0,bottom
R4,110.75,-76.5,90.0,top
R5,112.75,-76.5,90.0,top
R6,114.75,-76.5,90.0,top
R7,91.75,-122.5,180.0,bottom
R8,96.5,-132.75,180.0,bottom
R9,96.5,-124.75,180.0,bottom
RV1,78.71,-112.0,180.0,bottom
RV2,92.5,-116.46,90.0,bottom
TP1,72.25,-104.75,0.0,top
TP10,76.75,-107.5,0.0,top
TP11,61.75,-132.5,180.0,bottom
TP12,97.0,-113.25,180.0,bottom
TP13,96.25,-94.5,180.0,bottom
TP2,58.25,-131.25,0.0,top
TP3,62.25,-122.75,0.0,top
TP4,68.0,-115.25,0.0,top
TP5,52.75,-122.75,0.0,top
TP6,65.5,-132.5,180.0,bottom
TP7,97.0,-117.0,180.0,bottom
TP8,100.5,-94.75,180.0,bottom
TP9,83.0,-106.25,0.0,top
U1,94.25,-108.75,90.0,bottom
U2,81.975,-120.25,90.0,bottom
U3,94.225,-99.135,270.0,bottom
U4,66.75,-98.25,180.0,bottom
U5,57.28,-102.71,90.0,bottom
U6,64.0,-114.75,270.0,top
U7,77.425,-85.0,0.0,bottom
U8,79.25,-100.75,270.0,bottom
Y1,57.5,-82.5,90.0,bottom
