Designator,Mid X,Mid Y,Rotation,Layer
C1,92.25,-156.0,180.0,bottom
C2,88.0,-148.25,270.0,bottom
C3,92.0,-153.25,0.0,top
C4,85.5,-148.25,270.0,top
C5,103.175,-53.0,270.0,bottom
C6,116.525,-69.325,0.0,bottom
C7,118.25,-95.0,90.0,top
C8,57.0,-67.75,90.0,top
C9,64.5,-57.25,0.0,top
D1,83.0,-155.0,180.0,top
D2,83.0,-153.0,0.0,top
D3,65.0,-135.0,180.0,bottom
D4,65.0,-154.0,180.0,bottom
D5,70.04,-120.0,180.0,top
D6,80.04,-120.0,180.0,top
D7,89.96,-120.0,0.0,top
D8,99.96,-120.0,0.0,top
H1,77.73,-148.92,0.0,bottom
J1,56.0,-136.705,180.0,top
J2,56.0,-152.295,0.0,top
J3,114.0,-136.705,180.0,top
J4,114.0,-152.295,0.0,top
J5,101.0,-136.705,180.0,top
J6,101.0,-152.295,0.0,top
J7,69.0,-136.705,180.0,top
J8,69.0,-152.295,0.0,top
Q1,105.0575,-151.05,180.0,bottom
Q2,105.0,-140.0,0.0,bottom
Q3,65.25,-138.0,90.0,bottom
Q4,65.25,-151.25,0.0,bottom
R1,52.5,-158.0,0.0,bottom
R10,105.0,-133.25,0.0,bottom
R11,105.0,-158.0,0.0,bottom
R12,74.5,-134.5,0.0,bottom
R13,65.25,-131.0,180.0,bottom
R14,65.25,-133.0,180.0,bottom
R15,71.5,-148.5,270.0,bottom
R16,65.25,-158.0,180.0,bottom
R17,65.25,-156.0,180.0,bottom
R18,67.75,-116.5,0.0,top
R19,77.75,-116.5,0.0,top
R2,87.0,-155.0,0.0,top
R20,85.0,-61.0,90.0,bottom
R21,97.5,-64.25,90.0,bottom
R22,106.75,-73.5,90.0,bottom
R23,110.0,-86.0,90.0,bottom
R24,106.75,-98.5,90.0,bottom
R25,97.5,-107.75,90.0,bottom
R26,92.25,-116.5,180.0,top
R27,102.25,-116.5,180.0,top
R28,90.25,-57.75,90.0,top
R29,102.75,-61.0,90.0,top
R3,87.0,-153.0,0.0,top
R30,101.5,-70.25,90.0,top
R31,104.75,-82.75,90.0,top
R32,101.5,-95.25,90.0,top
R33,102.75,-104.5,90.0,top
R34,85.0,-111.0,90.0,bottom
R35,72.25,-107.75,90.0,bottom
R36,63.25,-98.5,90.0,bottom
R37,60.0,-86.0,90.0,bottom
R38,63.25,-73.5,90.0,bottom
R39,72.5,-64.25,90.0,bottom
R4,110.5,-130.75,180.0,bottom
R40,65.25,-82.75,90.0,top
R41,68.5,-72.0,90.0,top
R42,78.0,-61.0,90.0,top
R43,90.25,-107.75,90.0,top
R44,77.75,-104.5,90.0,top
R45,68.5,-95.25,90.0,top
R46,108.75,-146.25,90.0,bottom
R47,96.25,-129.0,0.0,bottom
R48,62.25,-130.5,270.0,bottom
R5,111.25,-157.0,270.0,bottom
R6,105.0,-156.0,0.0,bottom
R7,105.0,-137.25,0.0,bottom
R8,105.0,-154.0,180.0,bottom
R9,105.0,-135.25,180.0,bottom
SW1,85.0,-60.0,0.0,top
SW10,60.0,-85.0,0.0,top
SW11,63.25,-72.5,0.0,top
SW12,72.5,-63.25,0.0,top
SW13,56.0,-112.0,0.0,top
SW14,56.0,-121.0,0.0,top
SW15,114.0,-121.0,0.0,top
SW16,114.0,-112.0,0.0,top
SW17,85.0,-85.25,0.0,top
SW2,97.5,-63.25,0.0,top
SW3,106.75,-72.5,0.0,top
SW4,110.0,-85.0,0.0,top
SW5,106.75,-97.5,0.0,top
SW6,97.5,-106.75,0.0,top
SW7,85.0,-110.0,0.0,top
SW8,72.5,-106.75,0.0,top
SW9,63.25,-97.5,0.0,top
TP1,93.75,-150.25,0.0,top
TP2,94.0,-144.0,0.0,top
TP3,85.0,-143.0,180.0,bottom
U1,84.92,-92.54,0.0,top
U2,96.75,-54.75,0.0,bottom
U3,114.775,-62.825,90.0,bottom
U4,115.25,-102.25,270.0,top
U5,54.475,-75.095,270.0,top
U6,57.0,-54.75,180.0,top
