Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",CP_Radial_D6.3mm_P2.50mm,2,47uF,
"C3, C4, C5, C6, C7, C8, C9",0805,7,100nF,
"D1, D2",D_SOD-323_HandSoldering,2,1N5819WS,
"D3, D4",D_SOD-323_HandSoldering,2,1N4148WS,
"D5, D6, D7, D8",LED_D3.0mm,4,LED,
H1,IDC-Header_2x05_P2.54mm_Vertical,1,POWER_CONN,
"J1, J2",Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles,2,CV_INPUT,
"J3, J4",Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles,2,CV_OUTPUT,
"J5, J6",Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles,2,TRIG_OUT,
"J7, J8",Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles,2,TRIG_INPUT,
"Q1, Q2, Q3, Q4",SOT-23,4,MMBT3904,
"R1, R14, R17",0805,3,100K,
"R10, R11, R4, R5, R6, R7",0805,6,1K,
"R12, R13, R15, R16, R28, R29, R30, R31, R32, R33, R40, R41, R42, R43, R44, R45",0805,16,10K,
"R18, R19, R20, R21, R22, R23, R24, R25, R26, R27, R34, R35, R36, R37, R38, R39",0805,16,470R,
"R2, R3",0805,2,10R,
"R8, R9",0805,2,2K,
"SW1, SW11, SW3, SW5, SW7, SW9",ML6-H2T2GQA,6,CH_1_SW,
"SW10, SW12, SW2, SW4, SW6, SW8",ML6-H2T2GQA,6,CH_2_SW,
"SW13, SW14, SW15, SW16",SW_PUSH_6mm,4,SW_Push,
SW17,RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm_CircularMountingHoles,1,ENCODER,
"U2, U3, U4",SOIC-16,3,74HC595,
"U5, U6",SOIC-16,2,74HC165,
