"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1","10nF","~","Synth:C_RECT_WIMA_0.1uF","1",""
"C2,C4,C5","0.1uF","~","-- mixed values --","3",""
"C3","47uF","~","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm","1",""
"D1,D2","1N4148","https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf","Synth:D_DO-35_SOD27_P7.62mm_Horizontal","2",""
"D3","1N5819","http://www.vishay.com/docs/88525/1n5817.pdf","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","1",""
"D4,LED_X1,LED_X2,LED_X3,LED_X4,LED_X5,LED_X6","LED","~","Synth:LED_D5.0mm (center Aligned)","7",""
"GATE_IN_1","GATE_IN","~","Synth:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles","1",""
"H1","H5","~","Synth:PinHeader_1x04_P2.54mm_Vertical","1",""
"H2","H6","~","Synth:PinSocket_1x04_P2.54mm_Vertical","1",""
"H11","H4","~","Synth:PinSocket_1x08_P2.54mm_Vertical","1",""
"H12","H2","~","Synth:PinHeader_1x08_P2.54mm_Vertical","1",""
"J1","Conn_01x03_Pin","~","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","1",""
"J2","PWR","~","Synth:IDC-Header_2x08_P2.54mm_Vertical","1",""
"OUTPUT_X1","X1_OUPUT","~","Synth:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles","1",""
"OUTPUT_X2","X2_OUTPUT","~","Synth:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles","1",""
"OUTPUT_X3","X4_OUTPUT","~","Synth:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles","1",""
"OUTPUT_X4","X8_OUTPUT","~","Synth:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles","1",""
"OUTPUT_X5","X16_OUTPUT","~","Synth:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles","1",""
"OUTPUT_X6","X32_OUTPUT","~","Synth:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles","1",""
"Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9","2N3904","https://www.onsemi.com/pub/Collateral/2N3903-D.PDF","Package_TO_SOT_THT:TO-92_HandSolder","9",""
"R1,R5","100R","~","Synth:R_Default (DIN0207)","2",""
"R2","47K","~","Synth:R_Default (DIN0207)","1",""
"R3,R6","10K","~","Synth:R_Default (DIN0207)","2",""
"R4,R11,R13,R15,R17,R19,R21,R22,R23,R24,R25,R26,R27","2.2K","~","Synth:R_Default (DIN0207)","13",""
"R7,R10,R12,R14,R16,R18,R20","1K","~","Synth:R_Default (DIN0207)","7",""
"R8","10","~","Synth:R_Default (DIN0207)","1",""
"R9","500R","~","Synth:R_Default (DIN0207)","1",""
"RESET_1","RESET","~","Synth:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles","1",""
"TP1","+12V","~","Connector_Pin:Pin_D1.0mm_L10.0mm","1",""
"TP2","GND","~","Connector_Pin:Pin_D1.0mm_L10.0mm","1",""
"U1","4069","http://www.intersil.com/content/dam/Intersil/documents/cd40/cd4069ubms.pdf","Package_DIP:DIP-14_W7.62mm_Socket_LongPads","1",""
"U2","4024","","Package_DIP:DIP-14_W7.62mm_Socket_LongPads","1",""
