"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1,C11","10 pF","~","Synth:C_RECT_WIMA_0.1uF","2",""
"C2,C3,C4,C5,C9,C10","0.1uF","~","-- mixed values --","6",""
"C6,C12","100 nF","~","Synth:C_RECT_WIMA_0.1uF","2",""
"C7,C8","47uF","~","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm","2",""
"D1,D5","1N4148","https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf","Synth:D_DO-35_SOD27_P7.62mm_Horizontal","2",""
"D2,D6","LED","~","Synth:LED_D5.0mm (center Aligned)","2",""
"D3,D4","1N5819","http://www.vishay.com/docs/88525/1n5817.pdf","Synth:D_DO-41_SOD81_P10.16mm_Horizontal","2",""
"H1,H4","TOP_8_SGL","~","Synth:PinHeader_1x08_P2.54mm_Vertical","2",""
"H2,H5","BTM_8_SGL","~","Synth:PinSocket_1x08_P2.54mm_Vertical","2",""
"H3","Conn_02x05_PWR_Eurorack","~","Synth:IDC-Header_2x05_P2.54mm_Vertical","1",""
"J1,J6","INPUT_1","~","Synth:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles","2",""
"J2,J7","INPUT_2","~","Synth:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles","2",""
"J3,J8","OUTPUT_1","~","Synth:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles","2",""
"J4,J9","OUTPUT_2","~","Synth:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles","2",""
"J5,J10","OUTPUT_3","~","Synth:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles","2",""
"Q1,Q2","BC548","https://www.onsemi.com/pub/Collateral/BC550-D.pdf","Package_TO_SOT_THT:TO-92_HandSolder","2",""
"R1,R2,R3,R4,R18,R19,R20,R21","100K [0.1%]","~","Synth:R_Default (DIN0207)","8",""
"R5,R6,R7,R8,R9,R10,R22,R23,R24,R25,R26,R27","10K [0.1%]","~","Synth:R_Default (DIN0207)","12",""
"R11,R28","8K2","~","Synth:R_Default (DIN0207)","2",""
"R12,R13,R14,R29,R30,R31","1K","~","Synth:R_Default (DIN0207)","6",""
"R15,R32","470","~","Synth:R_Default (DIN0207)","2",""
"R16,R17","10","~","Synth:R_Default (DIN0207)","2",""
"SW1,SW2","SW_SPDT","~","Synth:SW_default","2",""
"U1,U2","TL074","http://www.ti.com/lit/ds/symlink/tl071.pdf","-- mixed values --","2",""
