Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C19, C2, C20, C22, C24",0805,6,1.5uF,
"C10, C12, C13, C14, C15, C16, C17, C18, C4, C5, C6, C7, C8, C9",0805,14,100nF,
"C11, C3",CP_Radial_D6.3mm_P2.50mm,2,47uF,
"C21, C23",0805,2,680pF,
"D1, D10, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D28, D29, D30, D31, D32, D34, D35, D36, D37, D38, D9",D_SOD-323_HandSoldering,26,1N4148WS,
"D11, D12, D13, D14, D27, D3, D33, D4, D5, D6",LED_D3.0mm,10,LED,
"D7, D8",D_SOD-323_HandSoldering,2,1N5819WS,
H1,IDC-Header_2x05_P2.54mm_Vertical,1,Conn_02x05_PWR_Eurorack,
J1,Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles,1,LEFT_OUT,
J2,Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles,1,RIGHT_OUT,
J3,Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles,1,STEREO_OUT,
"J4, J5",Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles,2,INPUT,
"J6, J7",Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles,2,SIDECHAIN_IN,
"Q1, Q10, Q2, Q3, Q4, Q5, Q6, Q7, Q8, Q9",SOT-23_Handsoldering,10,MMBT3904,
"R1, R3, R52, R67",0805,4,1K,
"R10, R13, R16, R21, R24, R27, R30, R7",0805,8,33K,
"R11, R14, R19, R22, R25, R28, R5, R8",0805,8,3K3,
"R12, R26",0805,2,220K,
"R15, R29",0805,2,330K,
"R17, R18",0805,2,10R,
"R2, R4",0805,2,20K,
"R20, R6",0805,2,47K,
"R23, R9",0805,2,120K,
"R31, R32, R34, R35, R37, R38, R39, R41, R42, R44, R48, R50, R51, R53, R54, R58, R63, R65, R66, R68, R69, R73",0805,22,100K,
"R33, R36, R40, R43, R46, R47, R61, R62",0805,8,10K,
"R45, R60",0805,2,470R,
"R49, R64",0805,2,0R,
"R55, R59, R70, R74",0805,4,470K,
"R56, R71",0805,2,2K,
"R57, R72",0805,2,200R,
"RV1, RV11, RV2, RV7",Potentiometer_TT_P0915N,4,A100K,
"RV10, RV6",Potentiometer_TT_P0915N,2,A500K,
"RV12, RV8",Potentiometer_TT_P0915N,2,A1M,
"RV3, RV4",Potentiometer_TT_P0915N,2,A20K,
"RV5, RV9",Potentiometer_TT_P0915N,2,A10K,
"SW1, SW2",SW_default,2,SW_SPDT,
"U1, U4, U5, U6",SOIC-8,4,TL072,
"U2, U3",SOIC-14,2,TL074,
