Designator,Mid X,Mid Y,Rotation,Layer
C1,81.25,-111.25,90.0,bottom
C10,55.9,-138.5,90.0,bottom
C11,88.4,-65.45,90.0,bottom
C12,86.25,-70.7,90.0,bottom
C13,100.75,-108.75,0.0,bottom
C14,102.75,-71.25,90.0,bottom
C15,57.1,-72.0,90.0,bottom
C16,75.25,-158.25,180.0,bottom
C17,76.25,-137.095,270.0,bottom
C18,51.5,-150.75,90.0,bottom
C19,78.75,-111.25,90.0,bottom
C2,83.5,-111.25,90.0,bottom
C20,76.5,-111.25,90.0,bottom
C21,99.5375,-74.5,180.0,bottom
C22,106.0,-94.5,90.0,bottom
C23,54.0,-69.0,180.0,bottom
C24,54.0,-94.5,90.0,bottom
C3,71.5,-65.5,270.0,bottom
C4,73.0,-74.0,0.0,bottom
C5,104.25,-116.25,0.0,bottom
C6,103.5,-58.75,90.0,bottom
C7,55.5,-57.75,90.0,bottom
C8,71.75,-150.75,180.0,bottom
C9,83.5,-134.845,270.0,bottom
D1,83.5,-107.25,90.0,bottom
D10,78.75,-107.25,90.0,bottom
D11,76.96,-84.0,0.0,top
D12,76.96,-90.0,0.0,top
D13,76.96,-96.0,0.0,top
D14,76.96,-102.0,0.0,top
D15,84.5,-146.0,180.0,bottom
D16,84.5,-148.0,0.0,bottom
D17,84.5,-150.0,180.0,bottom
D18,84.5,-152.0,0.0,bottom
D19,84.5,-154.0,180.0,bottom
D2,81.25,-107.25,90.0,bottom
D20,84.5,-156.0,0.0,bottom
D21,60.75,-143.25,0.0,bottom
D22,60.75,-141.25,180.0,bottom
D23,60.75,-139.25,0.0,bottom
D24,60.75,-137.25,180.0,bottom
D25,60.75,-135.25,0.0,bottom
D26,60.75,-133.25,180.0,bottom
D27,82.96,-56.0,0.0,top
D28,101.5,-79.7,270.0,bottom
D29,99.5,-79.7,90.0,bottom
D3,83.04,-84.0,180.0,top
D30,99.75,-76.5,180.0,bottom
D31,100.0,-52.75,0.0,bottom
D32,106.0,-77.5,90.0,bottom
D33,76.96,-56.0,0.0,top
D34,51.1,-72.25,270.0,bottom
D35,52.25,-75.5,180.0,bottom
D36,53.1,-72.25,90.0,bottom
D37,57.5,-58.25,90.0,bottom
D38,60.75,-59.25,0.0,bottom
D4,83.04,-90.0,180.0,top
D5,83.04,-96.0,180.0,top
D6,83.04,-102.0,180.0,top
D7,72.75,-78.5,180.0,bottom
D8,87.25,-77.25,180.0,bottom
D9,76.5,-107.25,90.0,bottom
H1,79.98,-72.67,0.0,bottom
J1,92.0,-152.205,180.0,top
J2,102.5,-152.205,180.0,top
J3,102.5,-137.205,180.0,top
J4,68.0,-152.205,180.0,top
J5,57.5,-152.205,180.0,top
J6,68.0,-137.355,0.0,top
J7,57.5,-137.275,0.0,top
Q1,87.0,-82.5,90.0,bottom
Q10,77.0,-52.5,0.0,bottom
Q2,87.0,-90.5,270.0,bottom
Q3,87.0,-96.0,270.0,bottom
Q4,86.75,-103.75,270.0,bottom
Q5,73.0,-82.5,90.0,bottom
Q6,72.9,-90.5,270.0,bottom
Q7,72.9,-96.0,270.0,bottom
Q8,73.25,-103.75,270.0,bottom
Q9,83.0,-52.55,0.0,bottom
R1,96.75,-116.0,180.0,bottom
R10,90.8,-91.5,180.0,bottom
R11,82.0,-94.0,180.0,bottom
R12,90.8,-95.75,180.0,bottom
R13,90.8,-97.75,180.0,bottom
R14,82.0,-99.75,180.0,bottom
R15,90.5,-104.5,180.0,bottom
R16,90.5,-106.5,180.0,bottom
R17,73.0,-76.5,180.0,bottom
R18,87.25,-75.25,0.0,bottom
R19,78.0,-86.0,0.0,bottom
R2,96.75,-113.25,180.0,bottom
R20,67.75,-80.75,0.0,bottom
R21,67.75,-82.75,0.0,bottom
R22,78.0,-88.0,0.0,bottom
R23,68.9,-89.0,0.0,bottom
R24,68.9,-91.0,0.0,bottom
R25,78.0,-94.0,0.0,bottom
R26,68.5,-95.75,0.0,bottom
R27,68.5,-97.75,0.0,bottom
R28,78.0,-99.75,0.0,bottom
R29,68.6,-104.3,0.0,bottom
R3,107.5,-114.75,90.0,bottom
R30,68.6,-106.25,0.0,bottom
R31,70.5,-146.5,90.0,bottom
R32,68.5,-151.5,270.0,bottom
R33,69.5,-125.0,270.0,bottom
R34,79.25,-158.0,180.0,bottom
R35,82.75,-140.095,0.0,bottom
R36,82.75,-142.095,180.0,bottom
R37,78.275,-152.635,270.0,bottom
R38,51.5,-139.0,90.0,bottom
R39,53.9,-139.0,270.0,bottom
R4,107.5,-110.75,270.0,bottom
R40,55.0,-125.0,270.0,bottom
R41,55.75,-149.5,180.0,bottom
R42,80.0,-130.345,0.0,bottom
R43,80.0,-128.345,180.0,bottom
R44,55.75,-151.5,0.0,bottom
R45,82.0,-58.0,180.0,bottom
R46,95.0,-61.0,0.0,bottom
R47,86.5,-56.25,270.0,bottom
R48,102.75,-75.25,270.0,bottom
R49,89.5,-51.5,180.0,bottom
R5,82.0,-86.0,180.0,bottom
R50,95.0,-66.75,90.0,bottom
R51,107.5,-70.75,270.0,bottom
R52,71.25,-134.75,0.0,bottom
R53,103.5,-53.8,270.0,bottom
R54,100.0,-60.25,0.0,bottom
R55,101.0,-82.9,180.0,bottom
R56,95.0,-71.0,90.0,bottom
R57,95.0,-81.75,270.0,bottom
R58,95.0,-105.25,270.0,bottom
R59,104.75,-70.75,90.0,bottom
R6,90.7,-80.75,180.0,bottom
R60,78.0,-58.0,0.0,bottom
R61,68.75,-60.75,180.0,bottom
R62,73.5,-56.25,270.0,bottom
R63,55.1,-72.0,90.0,bottom
R64,70.75,-51.25,0.0,bottom
R65,65.25,-66.8,180.0,bottom
R66,62.25,-66.8,270.0,bottom
R67,60.5,-131.0,0.0,bottom
R68,53.5,-58.5,270.0,bottom
R69,51.5,-58.5,90.0,bottom
R7,90.7,-82.75,180.0,bottom
R70,65.0,-75.25,90.0,bottom
R71,56.25,-78.25,0.0,bottom
R72,61.5,-80.75,0.0,bottom
R73,62.5,-105.25,270.0,bottom
R74,65.0,-71.25,270.0,bottom
R8,82.0,-88.0,180.0,bottom
R9,90.8,-89.5,180.0,bottom
RV1,88.0,-123.7,0.0,top
RV10,65.0,-74.2,0.0,top
RV11,65.0,-89.2,0.0,top
RV12,65.0,-104.2,0.0,top
RV2,102.5,-123.7,0.0,top
RV3,72.0,-123.7,0.0,top
RV4,57.5,-123.7,0.0,top
RV5,95.0,-59.2,0.0,top
RV6,95.0,-74.2,0.0,top
RV7,95.0,-89.2,0.0,top
RV8,95.0,-104.2,0.0,top
RV9,65.0,-59.2,0.0,top
SW1,106.0,-86.0,90.0,top
SW2,54.0,-86.0,90.0,top
TP1,107.75,-52.25,0.0,bottom
TP2,56.8,-112.4,0.0,bottom
TP3,52.0,-52.0,0.0,bottom
U1,102.5,-112.5,90.0,bottom
U2,103.25,-65.0,180.0,bottom
U3,56.5,-64.25,180.0,bottom
U4,73.5,-154.5,270.0,bottom
U5,80.0,-135.25,0.0,bottom
U6,53.5,-144.75,0.0,bottom
