Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C3, C4, C5, C6, C7, C9",0805,7,100nF,
"C2, C8",CP_Radial_D6.3mm_P2.50mm,2,47uF,
"D1, D2",D_SOD-323_HandSoldering,2,1N5819WS,
H1,IDC-Header_2x05_P2.54mm_Vertical,1,Conn_02x05_PWR_Eurorack,
"J1, J3, J5",Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles,3,OUT,
"J2, J4, J6, J8",Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles,4,INPUT,
J7,Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles,1,INV_OUT,
"R1, R11, R13, R15, R2, R3, R5, R7, R8",0805,9,100K [0.1%],
"R10, R12, R14, R4, R6, R9",0805,6,100R [0.1%],
R16,0805,1,47K,
R17,0805,1,10K [0.1%],
R18,0805,1,5K1 [0.1%],
"R19, R20",0805,2,10R,
RV1,Potentiometer_Bourns_3296W_Vertical,1,1K [25 TURN],
RV2,Potentiometer_TT_P0915N,1,R_Potentiometer,
RV3,Potentiometer_Bourns_3296W_Vertical,1,10K [25 TURN],
"SW1, SW2, SW3, SW4",SW_default,4,ON_OFF_ON,
"U1, U2",SOIC-14,2,OPA4171,
U3,SOT-23,1,LM4040DBZ-2.0,
