Designator,Mid X,Mid Y,Rotation,Layer
C1,72.0625,-58.25,180.0,bottom
C2,53.75,-53.75,90.0,bottom
C3,60.25,-51.5,180.0,bottom
C4,65.25,-84.75,0.0,bottom
C5,66.0,-140.75,180.0,bottom
C6,65.5,-95.75,90.0,bottom
C7,65.0,-130.0,270.0,bottom
C8,53.75,-60.75,90.0,bottom
C9,58.5,-60.75,90.0,bottom
D1,53.5,-67.25,180.0,bottom
D2,53.5,-73.0,180.0,bottom
H1,69.08,-69.27,270.0,bottom
J1,57.705,-143.0,270.0,top
J2,57.0,-81.295,0.0,top
J3,72.295,-154.0,90.0,top
J4,57.0,-97.295,0.0,top
J5,72.295,-143.0,90.0,top
J6,57.0,-112.295,0.0,top
J7,57.705,-154.0,270.0,top
J8,57.0,-127.295,0.0,top
R1,72.25,-136.25,180.0,bottom
R10,70.5,-85.0,0.0,bottom
R11,73.0,-94.25,270.0,bottom
R12,69.75,-94.75,0.0,bottom
R13,73.0,-109.25,270.0,bottom
R14,62.5,-94.75,180.0,bottom
R15,73.0,-124.25,270.0,bottom
R16,72.0,-61.25,180.0,bottom
R17,68.25,-51.25,180.0,bottom
R18,72.25,-51.25,180.0,bottom
R19,53.5,-65.25,180.0,bottom
R2,58.25,-136.25,0.0,bottom
R20,53.5,-71.0,180.0,bottom
R3,68.25,-118.75,270.0,bottom
R4,72.25,-138.5,180.0,bottom
R5,76.25,-138.5,180.0,bottom
R6,59.25,-139.5,270.0,bottom
R7,57.0,-139.5,90.0,bottom
R8,75.0,-79.25,0.0,bottom
R9,59.25,-132.5,270.0,bottom
RV1,74.5,-119.5,180.0,bottom
RV2,65.0,-58.425,0.0,top
RV3,75.0,-55.46,270.0,top
SW1,73.0,-82.0,0.0,top
SW2,73.0,-98.0,0.0,top
SW3,73.0,-113.0,0.0,top
SW4,73.0,-128.0,0.0,top
TP3,72.3,-76.25,90.0,bottom
TP4,68.25,-76.25,90.0,bottom
TP5,62.5,-76.0,90.0,bottom
U1,66.77,-89.775,180.0,bottom
U2,65.0,-136.0,0.0,bottom
U3,67.8125,-59.72,180.0,bottom
