Designator,Footprint,Quantity,Value,LCSC Part #
A1,Arduino_Nano_MOD,1,Arduino_Nano_v3.x,
"C1, C5",CP_Radial_D5.0mm_P2.50mm,2,47uF,
"C10, C2, C3, C4, C6, C7, C9",0805,7,100nF,
C8,0805,1,10uF,
"D1, D2, D3, D4",LED_D3.0mm,4,LED,
"D5, D6",D_SOD-323_HandSoldering,2,1N5819WS,
H1,PinSocket_2x05_P2.54mm_Vertical,1,Conn_02x05_PWR_Eurorack,
J1,Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles,1,CLK_OUT,
J2,Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles,1,x2_OUT,
J3,Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles,1,x4_OUT,
J4,Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles,1,x8_OUT,
J5,Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles,1,RESET_IN,
J6,PinSocket_1x03_P2.54mm_Vertical,1,SYNC,
Q1,SOT-23_Handsoldering,1,MMBT3904,
"R1, R25, R27",0805,3,100K,
"R10, R12, R16, R20, R23",0805,5,470R,
"R11, R14, R15, R18, R19, R2, R21, R24, R26, R3, R30, R31, R4, R5, R6, R8, R9",0805,17,10K,
"R13, R17, R22, R32, R33, R34, R35, R36, R37, R38, R39, R7",0805,12,1K,
"R28, R29",0805,2,10R,
SW1,RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm_CircularMountingHoles,1,RotaryEncoder_Switch,
SW2,ML6-H2T2GQA,1,PLAY_PAUSE,
SW3,SW_PUSH_6mm,1,SWING,
SW4,SW_PUSH_6mm,1,DUTY_CYCLE,
SW5,SW_PUSH_6mm,1,Reset,
U1,3x7-segment-display_SP410361N,1,3x7-segment_display,
U2,SOIC-16,1,74HC595,
U3,SOIC-14,1,TL074,
