Designator,Mid X,Mid Y,Rotation,Layer
A1,70.68,-111.12,0.0,bottom
C1,53.294888,-66.75,180.0,bottom
C10,66.0,-65.0,0.0,bottom
C2,52.0,-61.5,0.0,bottom
C3,65.0,-140.0,90.0,bottom
C4,65.0,-151.75,90.0,bottom
C5,52.9,-53.25,270.0,bottom
C6,52.25,-57.0,180.0,bottom
C7,66.483316,-87.362501,90.0,bottom
C8,64.223316,-87.400001,90.0,bottom
C9,59.5,-123.5,0.0,bottom
D1,57.96,-130.5,0.0,top
D2,72.04,-130.5,180.0,top
D3,57.96,-146.5,0.0,top
D4,72.04,-146.5,180.0,top
D5,60.0,-70.5,180.0,bottom
D6,60.0,-66.0,0.0,bottom
H1,72.78,-69.27,270.0,bottom
J1,57.295,-138.0,90.0,top
J2,72.705,-138.0,270.0,top
J3,57.295,-154.0,90.0,top
J4,72.705,-154.0,270.0,top
J5,57.5,-114.295,0.0,top
J6,72.46,-87.3,90.0,bottom
Q1,54.0,-116.0,270.0,bottom
R1,74.75,-108.5,180.0,bottom
R10,53.5,-130.5,180.0,bottom
R11,71.5,-74.5,180.0,bottom
R12,72.5,-81.0,90.0,bottom
R13,70.5,-138.0,0.0,bottom
R14,58.5,-148.75,180.0,bottom
R15,62.0,-150.75,0.0,bottom
R16,75.75,-129.5,270.0,bottom
R17,62.0,-156.5,180.0,bottom
R18,71.5,-148.75,0.0,bottom
R19,68.0,-150.75,180.0,bottom
R2,57.75,-143.25,180.0,bottom
R20,53.5,-146.5,180.0,bottom
R21,72.5,-94.0,90.0,bottom
R22,68.25,-156.5,0.0,bottom
R23,76.5,-146.5,0.0,bottom
R24,57.5,-98.5,90.0,bottom
R25,70.0,-121.0,180.0,bottom
R26,54.0,-111.0,90.0,bottom
R27,54.0,-120.0,180.0,bottom
R28,55.5,-70.5,0.0,bottom
R29,56.25,-57.0,0.0,bottom
R3,61.75,-141.25,0.0,bottom
R30,65.75,-99.5,270.0,bottom
R31,71.5,-99.5,0.0,bottom
R32,71.5,-65.0,0.0,bottom
R33,66.0,-55.0,0.0,bottom
R34,60.5,-55.0,0.0,bottom
R35,60.0,-60.0,270.0,bottom
R36,62.0,-60.0,270.0,bottom
R37,64.0,-60.5,270.0,bottom
R38,67.0,-60.5,0.0,bottom
R39,74.5,-52.0,0.0,bottom
R4,61.5,-76.0,90.0,bottom
R5,56.5,-84.0,270.0,bottom
R6,61.5,-84.0,270.0,bottom
R7,62.0,-135.5,180.0,bottom
R8,71.5,-143.25,0.0,bottom
R9,69.25,-141.0,180.0,bottom
SW1,59.0,-80.25,0.0,top
SW2,72.5,-80.0,0.0,top
SW3,72.5,-95.0,180.0,top
SW4,57.5,-95.0,0.0,top
SW5,73.0,-115.0,270.0,top
U1,65.0,-58.0,0.0,top
U2,74.5,-58.0,180.0,bottom
U3,65.0,-146.0,180.0,bottom
