"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1,C3,C5,C6","0.1uF","~","Capacitor_THT:CP_Radial_D4.0mm_P2.00mm","4",""
"C2,C4","47uF","~","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm","2",""
"D1,D2","1N5819","http://www.vishay.com/docs/88525/1n5817.pdf","Synth:D_DO-41_SOD81_P10.16mm_Horizontal","2",""
"H1","BTM_4_SGL_2","~","Synth:PinSocket_1x04_P2.54mm_Vertical","1",""
"H2","TOP_4_SGL_2","~","Synth:PinHeader_1x04_P2.54mm_Vertical","1",""
"H3","TOP_4_SGL_1","~","Synth:PinHeader_1x04_P2.54mm_Vertical","1",""
"H4","BTM_4_SGL_1","~","Synth:PinSocket_1x04_P2.54mm_Vertical","1",""
"H5,H6,H7,H8,H9,H10,H11,H12","MountingHole","~","MountingHole:MountingHole_3.2mm_M3","8",""
"H13","Conn_02x05_PWR_Eurorack","~","Synth:IDC-Header_2x05_P2.54mm_Vertical","1",""
"J1,TP1","OUT_1","~","-- mixed values --","2",""
"J2,TP4","IN_1","~","-- mixed values --","2",""
"J3,TP5","CV_1","~","-- mixed values --","2",""
"J4,TP7","OUT_2","~","-- mixed values --","2",""
"J5,TP9","IN_2","~","-- mixed values --","2",""
"J6,TP10","CV_2","~","-- mixed values --","2",""
"Q1,Q2,Q3,Q4","BC548","https://www.onsemi.com/pub/Collateral/BC550-D.pdf","Package_TO_SOT_THT:TO-92_HandSolder","4",""
"R1,R2,R17,R18","20K 1%","~","Synth:R_Default (DIN0207)","4",""
"R3,R7,R19,R23","100K 1%","~","Synth:R_Default (DIN0207)","4",""
"R4,R6,R20,R22","10K 1%","~","Synth:R_Default (DIN0207)","4",""
"R5,R21","1K","~","Synth:R_Default (DIN0207)","2",""
"R8,R9,R13,R15,R24,R25,R29,R31,RV1,RV2,RV3,RV4","100K","~","-- mixed values --","12",""
"R10,R11,R26,R27","100","~","Synth:R_Default (DIN0207)","4",""
"R12,R28","20K","~","Synth:R_Default (DIN0207)","2",""
"R14,R30","10K","~","Synth:R_Default (DIN0207)","2",""
"R16,R32","82K","~","Synth:R_Default (DIN0207)","2",""
"R33,R34","10","~","Synth:R_Default (DIN0207)","2",""
"TP2","IN_1_UP","~","Connector_Pin:Pin_D1.0mm_L10.0mm","1",""
"TP3","IN_1_DOWN","~","Connector_Pin:Pin_D1.0mm_L10.0mm","1",""
"TP6","IN_2_UP","~","Connector_Pin:Pin_D1.0mm_L10.0mm","1",""
"TP8","IN_2_DOWN","~","Connector_Pin:Pin_D1.0mm_L10.0mm","1",""
"TP11","+12V","~","Connector_Pin:Pin_D1.0mm_L10.0mm","1",""
"TP12","GND","~","Connector_Pin:Pin_D1.0mm_L10.0mm","1",""
"TP13","-12V","~","Connector_Pin:Pin_D1.0mm_L10.0mm","1",""
"U1","TL074","http://www.ti.com/lit/ds/symlink/tl071.pdf","Package_DIP:DIP-14_W7.62mm_Socket_LongPads","1",""
