Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C21, C22, C23, C24, C25, C26, C29, C30",0805,10,100nF,
"C10, C12, C6, C8",0805,4,1200pF,
"C11, C14, C16, C18, C20, C3, C4, C5, C7, C9",C_RECT_MKT_1uF,10,2.2uF [FILM],
"C13, C15, C17, C19",0805,4,100pF,
"C27, C28",CP_Radial_D6.3mm_P2.50mm,2,47uF,
"D1, D3, D5, D7",LED_D3.0mm,4,LED,
"D10, D11",D_SOD-323_HandSoldering,2,1N5819WS,
"D2, D4, D6, D8",D_SOD-123,4,1N4148W,
D9,0805,1,LED,
H1,IDC-Header_2x05_P2.54mm_Vertical,1,POWER_CONN,
J1,Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles,1,OUT_INV,
"J10, J4, J6, J8",Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles,4,CV_IN,
"J11, J12, J13, J14",Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles,4,AUDIO_OUT,
J2,Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles,1,OUT_SUM,
"J3, J5, J7, J9",Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles,4,AUDIO_IN,
"R1, R13, R2, R20, R27, R3, R34, R4, R42, R46, R50, R54, R6, R8, R9",0805,15,100K,
"R10, R11, R18, R25, R32, R39, R43, R47, R51, R55",0805,10,1K,
"R12, R19, R26, R33, R40, R44, R48, R52",0805,8,20K,
"R14, R16, R21, R23, R28, R30, R35, R37",0805,8,240K,
"R15, R22, R29, R36",0805,4,220R,
"R17, R24, R31, R38",0805,4,68K,
"R41, R45, R49, R53, R56",0805,5,4K7,
"R5, R7",0805,2,10K,
"R57, R58",0805,2,10R,
"RV1, RV2, RV3, RV4",Potentiometer_TT_P0915N,4,B100K,
U1,SOIC-16_3.9x9.9mm_P1.27mm,1,SSI2164,
U2,SOIC-8,1,TL072,
"U3, U4",SOIC-14,2,TL074,
