Designator,Mid X,Mid Y,Rotation,Layer
C1,81.75,-93.5,270.0,bottom
C10,71.25,-106.0,90.0,bottom
C11,66.0,-121.75,90.0,bottom
C12,74.25,-121.75,90.0,bottom
C13,84.5,-97.25,90.0,bottom
C14,96.75,-64.0,270.0,bottom
C15,84.5,-89.75,270.0,bottom
C16,96.75,-72.0,270.0,bottom
C17,98.5,-89.25,270.0,bottom
C18,96.5,-112.0,90.0,bottom
C19,98.5,-97.5,90.0,bottom
C2,71.5,-98.0,90.0,bottom
C20,96.5,-120.0,90.0,bottom
C21,78.4625,-121.25,0.0,bottom
C22,82.0,-129.0,0.0,bottom
C23,57.5,-102.75,90.0,bottom
C24,57.25,-90.5,90.0,bottom
C25,85.5,-93.73,180.0,bottom
C26,97.475,-93.73,180.0,bottom
C27,54.75,-146.0,180.0,bottom
C28,76.5,-148.43238,90.0,bottom
C29,60.75,-142.0,180.0,bottom
C3,89.25,-141.0,0.0,bottom
C30,78.75,-142.0,270.0,bottom
C4,96.5,-140.0,270.0,bottom
C5,69.0,-53.0,0.0,bottom
C6,74.25,-54.25,270.0,bottom
C7,66.0,-74.0,90.0,bottom
C8,74.25,-74.0,90.0,bottom
C9,67.5,-98.0,90.0,bottom
D1,90.96,-64.125,0.0,top
D10,67.0,-148.5,0.0,bottom
D11,71.75,-147.75,90.0,bottom
D2,91.0,-60.5,0.0,bottom
D3,90.96,-88.0,0.0,top
D4,91.0,-84.5,0.0,bottom
D5,90.96,-112.0,0.0,top
D6,91.0,-108.5,0.0,bottom
D7,90.96,-136.0,0.0,top
D8,91.0,-132.5,0.0,bottom
D9,60.75,-144.25,0.0,bottom
H1,60.92,-154.73,90.0,bottom
J1,94.0,-151.295,0.0,top
J10,57.705,-139.0,270.0,top
J11,91.705,-56.0,270.0,top
J12,91.705,-80.0,270.0,top
J13,91.705,-104.0,270.0,top
J14,91.705,-128.0,270.0,top
J2,83.0,-151.295,0.0,top
J3,57.705,-56.0,270.0,top
J4,57.705,-67.0,270.0,top
J5,57.705,-80.0,270.0,top
J6,57.705,-91.0,270.0,top
J7,57.705,-104.0,270.0,top
J8,57.705,-115.0,270.0,top
J9,57.705,-128.0,270.0,top
R1,89.5,-118.5,180.0,bottom
R10,85.25,-157.75,90.0,bottom
R11,96.5,-156.0,270.0,bottom
R12,71.25,-58.25,90.0,bottom
R13,55.25,-69.0,90.0,bottom
R14,72.0,-65.75,180.0,bottom
R15,73.25,-58.25,90.0,bottom
R16,52.25,-70.0,180.0,bottom
R17,63.0,-94.75,270.0,bottom
R18,65.5,-92.0,270.0,bottom
R19,70.25,-72.0,270.0,bottom
R2,89.5,-116.25,180.0,bottom
R20,53.5,-85.5,0.0,bottom
R21,72.0,-89.5,180.0,bottom
R22,72.25,-72.0,270.0,bottom
R23,52.25,-87.5,180.0,bottom
R24,51.5,-95.5,270.0,bottom
R25,54.25,-90.5,270.0,bottom
R26,67.25,-103.75,90.0,bottom
R27,55.5,-116.25,90.0,bottom
R28,72.0,-114.0,180.0,bottom
R29,69.25,-103.75,270.0,bottom
R3,84.0,-117.75,90.0,bottom
R30,52.25,-117.25,180.0,bottom
R31,54.25,-102.0,180.0,bottom
R32,54.25,-105.0,90.0,bottom
R33,70.25,-119.75,270.0,bottom
R34,55.25,-140.25,90.0,bottom
R35,72.0,-138.25,180.0,bottom
R36,72.25,-119.75,270.0,bottom
R37,52.25,-141.25,180.0,bottom
R38,61.0,-101.75,0.0,bottom
R39,63.25,-98.75,270.0,bottom
R4,86.25,-117.75,90.0,bottom
R40,86.75,-97.25,270.0,bottom
R41,91.5,-58.25,0.0,bottom
R42,90.5,-53.5,0.0,bottom
R43,86.5,-53.5,0.0,bottom
R44,86.75,-90.0,90.0,bottom
R45,91.5,-82.25,180.0,bottom
R46,83.75,-80.5,90.0,bottom
R47,85.0,-77.5,180.0,bottom
R48,96.25,-89.25,90.0,bottom
R49,91.5,-106.25,0.0,bottom
R5,78.0,-129.0,0.0,bottom
R50,82.0,-106.5,180.0,bottom
R51,86.0,-106.5,180.0,bottom
R52,96.25,-97.5,270.0,bottom
R53,91.5,-130.25,180.0,bottom
R54,90.0,-124.5,270.0,bottom
R55,87.0,-125.5,0.0,bottom
R56,60.75,-146.25,180.0,bottom
R57,67.25,-146.5,0.0,bottom
R58,72.75,-144.5,180.0,bottom
R6,85.0,-122.5,90.0,bottom
R7,75.25,-126.0,90.0,bottom
R8,87.5,-157.75,270.0,bottom
R9,96.5,-152.25,270.0,bottom
RV1,73.0,-64.2,0.0,top
RV2,73.0,-88.2,0.0,top
RV3,73.0,-112.2,0.0,top
RV4,73.0,-136.2,0.0,top
U1,78.0,-99.75,0.0,bottom
U2,80.25,-125.0,270.0,bottom
U3,57.25,-97.0,0.0,bottom
U4,91.5,-93.75,90.0,bottom
