"#","Reference","Qty","Value","Footprint","DNP"
"1","C1","1","1 uF","synth-custom:C_RECT_MKT_1uF",""
"2","C2, C3, C4, C7, C8","5","0.1uF","Capacitor_THT:CP_Radial_D4.0mm_P2.00mm",""
"3","C5, C6","2","47uFx16V","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm",""
"4","C9","1","2.2nF","synth-custom:C_RECT_WIMA_0.1uF",""
"5","course1, fine1, PWM_AMT1","3","B100K","Potentiometer_THT:Potentiometer_TT_P0915N",""
"6","D1","1","1N4148","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal",""
"7","D2, D3","2","1N5819","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal",""
"8","fm1","1","B1M","Potentiometer_THT:Potentiometer_TT_P0915N",""
"9","H1","1","BTN_SGN","synth-custom:PinSocket_1x08_P2.00mm_Vertical",""
"10","H2","1","TOP_SGN","synth-custom:PinHeader_1x08_P2.00mm_Vertical",""
"11","H3","1","BTM_PWR","synth-custom:PinSocket_1x08_P2.00mm_Vertical",""
"12","H4","1","TOP_PWR","synth-custom:PinHeader_1x08_P2.00mm_Vertical",""
"13","H5, H6, H7, H8, H9, H10, H11, H12","8","MountingHole","MountingHole:MountingHole_3.5mm",""
"14","J1","1","1V/OCT","synth-custom:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles",""
"15","J2","1","FM","synth-custom:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles",""
"16","J3","1","PWM","synth-custom:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles",""
"17","J4","1","PULSE","synth-custom:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles",""
"18","J5","1","SAW","synth-custom:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles",""
"19","J6","1","PWR","synth-custom:CONN_02x08_PWR",""
"20","PWM_CNTR1","1","B250K","Potentiometer_THT:Potentiometer_TT_P0915N",""
"21","Q1","1","BC558","Package_TO_SOT_THT:TO-92_Inline",""
"22","Q2","1","BC548","Package_TO_SOT_THT:TO-92_Inline",""
"23","R1, R2, R5, R6, R7, R10, R12, R14, R18","9","100K","synth-custom:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"24","R3","1","33K","synth-custom:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"25","R4, R9","2","1M","synth-custom:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"26","R8","1","1.5K","synth-custom:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"27","R11","1","47K","synth-custom:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"28","R13, R19","2","1K","synth-custom:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"29","R15, R17","2","68K","synth-custom:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"30","R16","1","14K","synth-custom:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"31","R20, R21","2","10","synth-custom:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"32","RV6","1","1K","Potentiometer_THT:Potentiometer_Bourns_3296W_Vertical",""
"33","TP1","1","A","Connector_Pin:Pin_D1.0mm_L10.0mm",""
"34","TP2","1","B","Connector_Pin:Pin_D1.0mm_L10.0mm",""
"35","TP3","1","C","Connector_Pin:Pin_D1.0mm_L10.0mm",""
"36","TP4","1","D","Connector_Pin:Pin_D1.0mm_L10.0mm",""
"37","U1","1","40106","Package_DIP:DIP-14_W7.62mm_Socket_LongPads",""
"38","U2","1","TL074","Package_DIP:DIP-14_W7.62mm_Socket_LongPads",""
"39","VR1, VR2, VR3, VR4","4","NTC 10K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical",""
