"Reference","Value","Description","Footprint","Qty"
"J4","PWR","","Synth:IDC-Header_2x08_P2.54mm_Vertical","1"
"U3","CEM3340","","Package_DIP:DIP-16_W7.62mm_Socket_LongPads","1"
"Q1,Q2","2N3904","0.2A Ic, 40V Vce, Small Signal NPN Transistor, TO-92","Package_TO_SOT_THT:TO-92L_HandSolder","2"
"D1,D2","1N5819","40V 1A Schottky Barrier Rectifier Diode, DO-41","Synth:D_DO-41_SOD81_P10.16mm_Horizontal","2"
"J1","FM","Audio Jack, 2 Poles (Mono / TS), Switched T Pole (Normalling)","Synth:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles","1"
"J2","SYNC","Audio Jack, 2 Poles (Mono / TS), Switched T Pole (Normalling)","Synth:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles","1"
"J5","SQR","Audio Jack, 2 Poles (Mono / TS), Switched T Pole (Normalling)","Synth:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles","1"
"J6","TRI","Audio Jack, 2 Poles (Mono / TS), Switched T Pole (Normalling)","Synth:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles","1"
"J7","SAW","Audio Jack, 2 Poles (Mono / TS), Switched T Pole (Normalling)","Synth:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles","1"
"J8","SIN","Audio Jack, 2 Poles (Mono / TS), Switched T Pole (Normalling)","Synth:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles","1"
"J9","PWM","Audio Jack, 2 Poles (Mono / TS), Switched T Pole (Normalling)","Synth:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles","1"
"J10","1V/OCT","Audio Jack, 2 Poles (Mono / TS), Switched T Pole (Normalling)","Synth:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles","1"
"U1","TL072","Dual Low-Noise JFET-Input Operational Amplifiers, DIP-8/SOIC-8","Package_DIP:DIP-8_W7.62mm_Socket_LongPads","1"
"H1,H3,H8","~","Generic connector, single row, 01x01, script generated (kicad-library-utils/schlib/autogen/connector/)","Synth:PinHeader_1x04_P2.54mm_Vertical","3"
"H2,H4,H7","~","Generic connector, single row, 01x01, script generated (kicad-library-utils/schlib/autogen/connector/)","Synth:PinSocket_1x04_P2.54mm_Vertical","3"
"H5","~","Generic connector, single row, 01x01, script generated (kicad-library-utils/schlib/autogen/connector/)","Synth:PinHeader_1x08_P2.54mm_Vertical","1"
"H6","~","Generic connector, single row, 01x01, script generated (kicad-library-utils/schlib/autogen/connector/)","Synth:PinSocket_1x08_P2.54mm_Vertical","1"
"J3","CV_INPUT","Generic connector, single row, 01x03, script generated","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","1"
"D3","LED","Light emitting diode","Synth:LED_D5.0mm (center Aligned)","1"
"C9,C10","47uF","Polarized capacitor","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm","2"
"C11,C12","0.1uF","Polarized capacitor","Capacitor_THT:CP_Radial_D4.0mm_P2.00mm","2"
"course1,fine1","B100K","Potentiometer","Synth:Potentiometer_TT_P0915N","2"
"PWM_AMT1,PWM_CTRL1","B100K","Potentiometer","Synth:Potentiometer_Alpha_RD901F-40-00D_Single_Vertical_CircularHoles","2"
"U2","TL074","Quad Low-Noise JFET-Input Operational Amplifiers, DIP-14/SOIC-14","Package_DIP:DIP-14_W7.62mm_Socket_LongPads","1"
"R1","1.5M","Resistor","Synth:R_Default (DIN0207)","1"
"R2,R38,R42","1M","Resistor","Synth:R_Default (DIN0207)","3"
"R3,R11,R41","470R","Resistor","Synth:R_Default (DIN0207)","3"
"R4","24K","Resistor","Synth:R_Default (DIN0207)","1"
"R5","5K6","Resistor","Synth:R_Default (DIN0207)","1"
"R6","1K8","Resistor","Synth:R_Default (DIN0207)","1"
"R7,R8","10R","Resistor","Synth:R_Default (DIN0207)","2"
"R9","820R","Resistor","Synth:R_Default (DIN0207)","1"
"R10","10M [optional]","Resistor","Synth:R_Default (DIN0207)","1"
"R12,R13,R14,R33,R35,R37,R40","100K","Resistor","Synth:R_Default (DIN0207)","7"
"R15,R16,R22,R25,R27,R28","10K [1%]","Resistor","Synth:R_Default (DIN0207)","6"
"R17,R18,R19,R20,R29","1K","Resistor","Synth:R_Default (DIN0207)","5"
"R21,R26","2K2 [1%]","Resistor","Synth:R_Default (DIN0207)","2"
"R23","390R","Resistor","Synth:R_Default (DIN0207)","1"
"R30,R31,R32","470K","Resistor","Synth:R_Default (DIN0207)","3"
"R34","4K7","Resistor","Synth:R_Default (DIN0207)","1"
"R36,R39","220K","Resistor","Synth:R_Default (DIN0207)","2"
"RV3","18K","Resistor","Synth:R_Default (DIN0207)","1"
"SW1","HARD/SOFT","Switch, single pole double throw","Synth:SW_default","1"
"TP1","SOFT_SYNC","test point","Connector_Pin:Pin_D1.0mm_L10.0mm","1"
"TP2","HI_FREQ_TRACK","test point","Connector_Pin:Pin_D1.0mm_L10.0mm","1"
"TP3","HARD_SYNC","test point","Connector_Pin:Pin_D1.0mm_L10.0mm","1"
"TP4","VPWM","test point","Connector_Pin:Pin_D1.0mm_L10.0mm","1"
"TP5","LIN_FREQ","test point","Connector_Pin:Pin_D1.0mm_L10.0mm","1"
"TP6","FREQ","test point","Connector_Pin:Pin_D1.0mm_L10.0mm","1"
"TP7","SCALE_1","test point","Connector_Pin:Pin_D1.0mm_L10.0mm","1"
"TP8","SCALE_2","test point","Connector_Pin:Pin_D1.0mm_L10.0mm","1"
"TP9","+12V","test point","Connector_Pin:Pin_D1.0mm_L10.0mm","1"
"TP10","-12V","test point","Connector_Pin:Pin_D1.0mm_L10.0mm","1"
"TP11","GNDREF","test point","Connector_Pin:Pin_D1.0mm_L10.0mm","1"
"TP12","PULSE_RAW","test point","Connector_Pin:Pin_D1.0mm_L10.0mm","1"
"TP13","SAW_RAW","test point","Connector_Pin:Pin_D1.0mm_L10.0mm","1"
"TP14","TRI_RAW","test point","Connector_Pin:Pin_D1.0mm_L10.0mm","1"
"TP15","PULSE_IN","test point","Connector_Pin:Pin_D1.0mm_L10.0mm","1"
"TP16","SAW_IN","test point","Connector_Pin:Pin_D1.0mm_L10.0mm","1"
"TP17","TRI_IN","test point","Connector_Pin:Pin_D1.0mm_L10.0mm","1"
"TP18","PULSE_OUT","test point","Connector_Pin:Pin_D1.0mm_L10.0mm","1"
"TP19","SAW_OUT","test point","Connector_Pin:Pin_D1.0mm_L10.0mm","1"
"TP20","TRI_OUT","test point","Connector_Pin:Pin_D1.0mm_L10.0mm","1"
"TP21","SIN_OUT","test point","Connector_Pin:Pin_D1.0mm_L10.0mm","1"
"TP22","SIN_IN","test point","Connector_Pin:Pin_D1.0mm_L10.0mm","1"
"TP23","SIN_Q1","test point","Connector_Pin:Pin_D1.0mm_L10.0mm","1"
"TP24","SIN_Q2","test point","Connector_Pin:Pin_D1.0mm_L10.0mm","1"
"TP25","SIN_NON_INVERTED","test point","Connector_Pin:Pin_D1.0mm_L10.0mm","1"
"TP26","SIN_INVERTED","test point","Connector_Pin:Pin_D1.0mm_L10.0mm","1"
"R24","50K","Trim-potentiometer","Potentiometer_THT:Potentiometer_Bourns_3296W_Vertical","1"
"RV1","10K","Trim-potentiometer","Potentiometer_THT:Potentiometer_Bourns_3296W_Vertical","1"
"RV2","100K","Trim-potentiometer","Potentiometer_THT:Potentiometer_Bourns_3296W_Vertical","1"
"RV4","20K","Trim-potentiometer","Potentiometer_THT:Potentiometer_Bourns_3296W_Vertical","1"
"C1","0.001uF","Unpolarized capacitor","Synth:C_RECT_WIMA_0.1uF","1"
"C2,C4,C5,C6,C7,C16","0.1uF","Unpolarized capacitor","Synth:C_RECT_WIMA_0.1uF","6"
"C3","0.01 uF","Unpolarized capacitor","Synth:C_RECT_WIMA_0.1uF","1"
"C8","1nF","Unpolarized capacitor","Synth:C_RECT_WIMA_0.1uF","1"
"C13,C14,C15","1 uF","Unpolarized capacitor","Synth:C_RECT_MKT_1uF","3"
