"Reference","Value","Footprint","Qty","Description"
"C1","10uF","Synth:C_RECT_MKT_1uF","1","Unpolarized capacitor"
"C2","10nF","Synth:C_RECT_MKT_1uF","1","Unpolarized capacitor"
"C3,C4,C5,C6","0.1uF","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","4","Unpolarized capacitor"
"C7,C8","47uF","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm","2","Polarized capacitor"
"C9,C10","0.1uF","Capacitor_THT:CP_Radial_D4.0mm_P2.00mm","2","Polarized capacitor"
"D1","LED","Synth:LED_D5.0mm (center Aligned)","1","Light emitting diode"
"D2,D3","1N5819","Synth:D_DO-41_SOD81_P10.16mm_Horizontal","2","40V 1A Schottky Barrier Rectifier Diode, DO-41"
"D4","DUAL_LED","Synth:LED_D5.0mm (center Aligned)","1","Dual LED, bidirectional"
"H1","PinHeader_01x08","Synth:PinHeader_1x08_P2.54mm_Vertical","1","Generic connector, single row, 01x01, script generated (kicad-library-utils/schlib/autogen/connector/)"
"H2","PinSocket_01x08","Synth:PinSocket_1x08_P2.54mm_Vertical","1","Generic connector, single row, 01x01, script generated (kicad-library-utils/schlib/autogen/connector/)"
"H3","Conn_02x05_PWR_Eurorack","Synth:IDC-Header_2x05_P2.54mm_Vertical","1",""
"H4,H7","PinHeader_01x04","Synth:PinHeader_1x04_P2.54mm_Vertical","2","Generic connector, single row, 01x01, script generated (kicad-library-utils/schlib/autogen/connector/)"
"H5,H6","PinSocket_01x04","Synth:PinSocket_1x04_P2.54mm_Vertical","2","Generic connector, single row, 01x01, script generated (kicad-library-utils/schlib/autogen/connector/)"
"H16","PinHeader_01x02","Synth:PinHeader_1x02_P2.54mm_Vertical","1","Generic connector, single row, 01x02, header"
"H17","PinSocket_01x02","Synth:PinSocket_1x02_P2.54mm_Vertical","1","Generic connector, single row, 01x02, Socket"
"Q1,Q2","2N3904","Package_TO_SOT_THT:TO-92_HandSolder","2","0.2A Ic, 40V Vce, Small Signal NPN Transistor, TO-92"
"R1,R3","470R","Synth:R_Default (DIN0207)","2","Resistor"
"R2,R4,R5","100K","Synth:R_Default (DIN0207)","3","Resistor"
"R6","4K7","Synth:R_Default (DIN0207)","1","Resistor"
"R7","10K","Synth:R_Default (DIN0207)","1","Resistor"
"R8,R15","2K2 [1%]","Synth:R_Default (DIN0207)","2","Resistor"
"R9,R14,R16,R17","10K [1%]","Synth:R_Default (DIN0207)","4","Resistor"
"R10,R11","10R","Synth:R_Default (DIN0207)","2","Resistor"
"R12","390R","Synth:R_Default (DIN0207)","1","Resistor"
"R13","18K","Synth:R_Default (DIN0207)","1","Resistor"
"R18,R19,R20,R21","1K","Synth:R_Default (DIN0207)","4","Resistor"
"RATE_1,SQ_RANGE_1,TRI_RANGE_1","B100K","Synth:Potentiometer_TT_P0915N","3","Potentiometer"
"RV1","100K","Potentiometer_THT:Potentiometer_Bourns_3296W_Vertical","1","Trim-potentiometer"
"RV2","50K","Potentiometer_THT:Potentiometer_Bourns_3296W_Vertical","1","Trim-potentiometer"
"SIN_OUT_1","SINE_OUT","Synth:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles","1","Audio Jack, 2 Poles (Mono / TS), Switched T Pole (Normalling)"
"SQR_OUT_1","SQUARE_OUT","Synth:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles","1","Audio Jack, 2 Poles (Mono / TS), Switched T Pole (Normalling)"
"SW1","SW_SPDT","Synth:SW_default","1","Switch, single pole double throw"
"TP1","RATE_INPUT","Connector_Pin:Pin_D1.0mm_L10.0mm","1","test point"
"TP2","TRI","Connector_Pin:Pin_D1.0mm_L10.0mm","1","test point"
"TP3","SQR","Connector_Pin:Pin_D1.0mm_L10.0mm","1","test point"
"TP4","TRI_IN","Connector_Pin:Pin_D1.0mm_L10.0mm","1","test point"
"TP5","SIN_IN","Connector_Pin:Pin_D1.0mm_L10.0mm","1","test point"
"TP6","TRI_OUT","Connector_Pin:Pin_D1.0mm_L10.0mm","1","test point"
"TP7","SIN_Q1","Connector_Pin:Pin_D1.0mm_L10.0mm","1","test point"
"TP8","SQR_IN","Connector_Pin:Pin_D1.0mm_L10.0mm","1","test point"
"TP9","SIN_Q2","Connector_Pin:Pin_D1.0mm_L10.0mm","1","test point"
"TP10","SIN_NON_INVERTED","Connector_Pin:Pin_D1.0mm_L10.0mm","1","test point"
"TP11","SIN_INVERTED","Connector_Pin:Pin_D1.0mm_L10.0mm","1","test point"
"TP12","SQR_OUT","Connector_Pin:Pin_D1.0mm_L10.0mm","1","test point"
"TP13","+12V","Connector_Pin:Pin_D1.0mm_L10.0mm","1","test point"
"TP14","GND","Connector_Pin:Pin_D1.0mm_L10.0mm","1","test point"
"TP15","-12V","Connector_Pin:Pin_D1.0mm_L10.0mm","1","test point"
"TRI_OUT_1","TRI_OUT","Synth:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles","1","Audio Jack, 2 Poles (Mono / TS), Switched T Pole (Normalling)"
"U1,U2","TL074","Package_DIP:DIP-14_W7.62mm_Socket_LongPads","2","Quad Low-Noise JFET-Input Operational Amplifiers, DIP-14/SOIC-14"
