"#","Reference","Qty","Value","Footprint","DNP"
"1","C1, C2","2","47uF","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm",""
"2","C3, C4, C5, C6","4","0.1uF","Capacitor_THT:CP_Radial_D4.0mm_P2.00mm",""
"3","D1, D2","2","1N5819","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal",""
"4","H1, H4","2","TOP_4_SGL","synth-custom:PinHeader_1x04_P2.00mm_Vertical",""
"5","H2, H3","2","BTM_4_SGL","synth-custom:PinSocket_1x04_P2.00mm_Vertical",""
"6","H5","1","Conn_02x05_PWR_Eurorack","synth-custom:CONN_02x05_PWR",""
"7","H6, H7, H8, H9, H10, H11, H12, H13","8","MountingHole","MountingHole:MountingHole_2.5mm",""
"8","J2, J6","2","IN_1","synth-custom:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles",""
"9","J3, J7","2","OUT_1","synth-custom:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles",""
"10","J4, J5","2","CV_1","synth-custom:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles",""
"11","Q1, Q2, Q3, Q4","4","BC548","Package_TO_SOT_THT:TO-92_Inline",""
"12","R1, R2","2","10","synth-custom:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"13","R3, R4, R5, R6, R7, R8, R16, R17, R18, R31, R32, R33","12","100K","synth-custom:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"14","R9, R34","2","1K","synth-custom:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"15","R10, R12, R13, R14, R21, R26","6","20K","synth-custom:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"16","R11, R19, R27, R29","4","100","synth-custom:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"17","R15, R20","2","82K","synth-custom:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"18","R22, R23, R24, R25, R28, R30","6","10K","synth-custom:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"19","RV1, RV4","2","100K","Potentiometer_THT:Potentiometer_TT_P0915N",""
"20","RV2, RV3","2","100K","Potentiometer_THT:Potentiometer_Bourns_3296W_Vertical",""
"21","TP1, TP5","2","A","",""
"22","TP2, TP6","2","B","",""
"23","TP3, TP7","2","C","",""
"24","TP4, TP8","2","D","",""
"25","U1","1","TL074","Package_DIP:DIP-14_W7.62mm_Socket_LongPads",""
